TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
48453000101,3611,10.0,19.0,24.0,23.8,73.9,7.5,7.3,4.5,66.1,83.7,72.0,3.4,42.4,30.7,8.6,79.2,6.2,30.2,2.3,15.8,80.5,8.3,19.9,85.9,7.1,24.4,2.1,5.7
48453000102,2552,8.2,23.4,20.8,28.7,77.9,8.8,7.3,5.4,70.1,88.8,74.6,4.1,43.8,34.9,8.2,81.9,8.0,36.2,2.5,15.9,80.4,7.8,21.4,86.3,7.9,23.6,2.4,4.4
48453000203,1546,15.5,8.3,27.0,13.4,50.7,2.2,8.8,1.9,57.5,65.9,64.1,2.6,35.5,27.7,11.8,69.3,3.6,17.8,1.4,17.5,80.8,13.7,20.2,78.9,6.4,26.7,1.0,8.9
48453000204,3009,12.3,13.5,27.1,18.3,63.6,4.1,7.9,2.9,60.5,76.3,66.8,3.1,38.3,30.1,11.3,74.7,5.2,25.1,1.8,16.8,80.4,11.0,21.8,83.9,7.1,26.4,1.5,6.6
48453000205,3394,13.4,12.0,28.9,17.2,60.7,3.8,7.5,2.5,60.0,77.8,66.8,2.6,39.1,30.7,10.9,74.0,4.8,23.7,1.6,15.9,80.7,9.9,21.3,85.1,6.4,27.0,1.3,6.3
48453000206,2687,11.1,18.5,24.4,23.9,72.3,6.4,7.6,4.1,65.1,83.3,70.3,3.6,40.5,30.6,10.3,76.8,6.9,30.5,2.2,17.0,80.2,9.3,22.4,85.7,7.6,26.0,2.0,6.0
48453000302,4939,13.6,10.9,28.7,15.7,58.7,3.3,7.7,2.4,58.8,72.9,67.2,2.7,37.2,29.5,11.3,72.9,4.3,21.9,1.5,16.3,80.4,11.0,20.2,82.4,6.3,26.7,1.2,6.6
48453000304,3045,14.4,9.6,29.6,14.8,55.0,2.9,7.6,2.1,57.9,72.2,65.3,2.4,37.4,27.4,10.9,72.5,4.1,20.4,1.4,16.0,81.2,10.9,20.6,83.4,6.0,26.3,1.1,6.5
48453000305,3223,13.8,10.6,29.7,15.7,56.3,3.2,7.9,2.3,57.8,72.5,64.4,2.7,36.5,28.7,12.2,71.1,4.2,21.6,1.5,16.6,80.2,11.6,21.5,83.1,6.6,27.3,1.2,7.6
48453000306,2697,16.5,11.7,26.6,18.0,59.9,3.3,7.7,2.4,59.8,76.6,65.6,2.7,35.0,28.5,12.3,70.0,5.4,23.5,1.7,18.5,81.7,10.9,24.0,84.9,7.1,28.8,1.4,7.6
