FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
48453000101,6.3,4.9,58103.0,1.8,14.7,19.1,9.3,7.3,17.1,0.4,29.7,0.4,0.7,7.6,1.2,0.2131,0.2938,0.0486,0.046,0.5143,0.2653,0.2622,0.431,0.3441,0.2904,0.8728,0.4317,0.2724,0.619,0.7169,4.3
48453000102,3.2,1.1,100901.0,1.2,22.4,22.3,10.9,5.4,9.7,0.1,0.4,0.0,0.0,0.7,0.8,0.0711,0.0131,0.005,0.0246,0.883,0.4804,0.3816,0.282,0.2113,0.1772,0.2412,0.0,0.0,0.0533,0.6586,1.6
48453000203,33.6,8.6,44040.0,4.9,6.0,6.7,6.8,1.5,31.8,0.0,96.7,0.0,4.5,3.9,17.2,0.8995,0.6558,0.126,0.2007,0.0648,0.0243,0.1047,0.0438,0.536,0.0,0.9973,0.0,0.7642,0.3729,0.9658,7.4
48453000204,19.4,2.7,51595.0,2.7,9.3,13.8,5.0,5.3,27.4,1.0,38.0,0.0,2.1,12.0,2.0,0.6906,0.0815,0.0733,0.0847,0.1977,0.0846,0.0356,0.2714,0.4877,0.4323,0.9111,0.0,0.5354,0.7657,0.784,7.9
48453000205,12.9,4.7,42515.0,5.1,7.1,11.3,7.9,4.6,29.9,2.9,37.0,0.0,1.0,5.6,0.0,0.4975,0.271,0.1419,0.2111,0.1008,0.0537,0.1669,0.2178,0.5152,0.6547,0.9075,0.0,0.3423,0.5069,0.0,5.1
48453000206,9.1,1.2,55316.0,2.9,11.7,15.4,9.9,3.7,22.1,1.1,39.3,0.6,0.0,9.5,0.0,0.3427,0.0151,0.057999999999999996,0.0944,0.32799999999999996,0.1156,0.3064,0.1548,0.4195,0.4517,0.9155,0.4729,0.0,0.6953,0.0,8.0
48453000302,20.0,4.8,42403.0,1.3,6.5,9.5,4.1,1.0,28.5,0.6,44.1,0.5,1.7,13.9,0.6,0.7041,0.2823,0.1432,0.0276,0.0799,0.0395,0.0187,0.0281,0.4994,0.3516,0.9299,0.4503,0.4746,0.8041,0.6295,9.3
48453000304,17.0,3.6,36230.0,3.1,4.4,15.9,5.1,4.2,25.9,1.3,36.5,0.7,3.3,6.3,0.4,0.63,0.1552,0.2276,0.1047,0.0312,0.1305,0.0378,0.192,0.4684,0.4853,0.9053,0.4931,0.6778,0.5505,0.581,8.8
48453000305,23.1,5.2,39163.0,3.3,4.2,6.7,11.3,0.4,24.5,0.9,17.1,0.0,0.0,4.6,0.0,0.7671,0.3268,0.1813,0.1145,0.0284,0.0243,0.41200000000000003,0.0159,0.4516,0.4207,0.7672,0.0,0.0,0.4328,0.0,10.5
48453000306,19.2,5.0,47589.0,6.9,7.7,18.7,8.1,6.6,38.2,2.6,48.2,0.0,6.8,10.2,0.4,0.6858,0.3048,0.0971,0.3098,0.1245,0.2409,0.179,0.3789,0.6006,0.6364,0.9406,0.0,0.8551,0.7176,0.5771,10.8
48453000307,10.5,5.1,38513.0,2.5,9.3,17.8,5.7,2.7,25.0,1.2,17.4,0.0,3.8,12.4,0.0,0.4034,0.3159,0.1902,0.0754,0.1977,0.1979,0.0575,0.0925,0.4577,0.4752,0.7708,0.0,0.7176,0.7744,0.0,13.5
48453000401,23.7,1.9,36427.0,0.6,5.3,8.5,4.7,3.1,34.3,0.3,38.7,0.0,0.8,7.7,6.4,0.7772,0.0363,0.2239,0.0104,0.0475,0.033,0.0292,0.1147,0.5624,0.2556,0.9132,0.0,0.2993,0.6239,0.9221,9.0
48453000402,21.6,4.4,26826.0,7.8,12.9,15.8,11.9,11.1,46.4,1.6,36.1,0.4,3.0,5.6,6.5,0.7387,0.2382,0.4793,0.3577,0.4011,0.126,0.4561,0.6797,0.6664,0.5295,0.9035,0.4317,0.6427,0.5069,0.9236,13.3
48453000500,35.5,4.0,34567.0,1.3,4.5,7.2,4.9,2.9,25.4,0.0,41.6,0.8,1.0,13.7,1.7,0.9143,0.195,0.26,0.0276,0.0327,0.0265,0.0333,0.1011,0.4626,0.0,0.9229,0.5085,0.3512,0.8005,0.7643,13.3
48453000601,66.0,17.5,3596.0,15.9,0.1,1.2,3.7,1.8,46.0,0.7,74.6,0.0,0.0,14.4,92.0,0.9962,0.9441,0.9982,0.682,0.0043,0.0072,0.0131,0.0546,0.6637,0.3762,0.9777,0.0,0.0,0.813,0.9956,18.9
48453000603,82.8,8.7,6158.0,3.7,0.1,0.0,3.8,0.0,49.5,0.0,85.7,0.0,2.9,15.3,13.4,0.9992,0.6632,0.996,0.1351,0.0043,0.0,0.0144,0.0,0.6882,0.0,0.9871,0.0,0.637,0.8275,0.958,15.1
48453000604,88.6,13.1,4388.0,3.1,0.0,0.7,5.4,0.0,38.8,0.9,72.4,0.0,7.4,25.3,36.2,0.9996,0.8672,0.9975,0.1047,0.0,0.0056,0.0468,0.0,0.605,0.4307,0.9757,0.0,0.8689,0.915,0.9845,17.1
48453000700,11.9,6.4,60116.0,1.0,17.1,5.7,11.1,0.0,27.6,2.2,79.3,0.0,1.3,9.9,1.6,0.46,0.4598,0.0433,0.0191,0.6635,0.0207,0.3966,0.0,0.489,0.595,0.9817,0.0,0.4155,0.7084,0.754,12.9
48453000801,17.6,7.5,20980.0,35.6,28.6,17.9,18.8,3.5,73.6,11.1,22.8,3.6,5.7,17.7,4.6,0.6465,0.5678,0.7097,0.9477,0.9604,0.2001,0.8416,0.1374,0.8229,0.8813,0.8257,0.6642,0.8187,0.8582,0.8932,14.2
48453000802,47.9,7.7,21960.0,15.6,7.0,31.6,15.4,21.9,74.4,3.3,17.1,0.6,8.3,24.7,0.7,0.9748,0.585,0.6703,0.6736,0.0972,0.9264,0.6867,0.9469,0.8267,0.6824,0.7681,0.4729,0.8883,0.9117,0.6368,14.8
48453000803,10.7,5.7,35559.0,10.8,5.9,8.6,6.7,7.9,45.5,3.1,5.6,0.0,0.0,4.5,4.8,0.4117,0.3825,0.2405,0.5012,0.062,0.0341,0.0998,0.4773,0.6599,0.6677,0.5388,0.0,0.0,0.4244,0.899,17.5
48453000804,34.5,8.6,25181.0,20.6,8.1,23.4,15.0,15.5,68.1,6.4,15.4,0.0,4.8,28.1,0.0,0.9069,0.6558,0.5406,0.7899,0.1415,0.5636,0.6638,0.8432,0.7953,0.8006,0.7441,0.0,0.7816,0.9281,0.0,17.4
48453000901,18.9,8.1,34868.0,15.2,5.6,15.3,8.2,10.2,57.3,1.9,36.5,0.3,3.4,5.9,10.8,0.6783,0.6182,0.2538,0.6618,0.0543,0.1141,0.1857,0.6312,0.7371,0.5660000000000001,0.905,0.4228,0.6879,0.5267,0.9507,14.0
48453000902,20.0,4.7,25546.0,26.3,10.2,23.7,10.6,14.3,73.4,12.7,30.1,2.7,13.0,11.8,0.6,0.7041,0.271,0.5264,0.8773,0.2441,0.5809,0.3599,0.809,0.8217,0.8995,0.8749,0.6357,0.9440000000000001,0.7609999999999999,0.6243,30.6
48453001000,18.5,7.5,32993.0,23.1,15.1,15.6,16.1,5.2,66.1,10.7,19.5,1.3,6.7,15.3,1.5,0.6689,0.5678,0.2951,0.8336,0.5401,0.1226,0.7253,0.2664,0.7851,0.877,0.7948,0.5561,0.8521,0.8275,0.7429,25.7
