TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
24510010100,3022,6.7,18.4,24.6,22.0,70.2,5.9,8.7,3.7,66.8,81.9,75.0,4.1,47.9,42.4,14.1,73.4,5.6,26.1,2.1,18.9,81.9,11.7,25.7,,7.5,32.7,1.9,7.9
24510010200,3009,7.3,15.5,26.2,19.4,65.8,5.0,8.2,2.8,66.4,83.2,73.8,3.1,48.7,44.5,12.3,73.1,4.7,23.7,1.7,17.1,82.1,10.4,25.3,,6.4,33.7,1.5,7.7
24510010300,2208,6.4,13.1,28.6,16.5,61.1,4.2,8.2,2.3,64.1,80.8,74.5,2.8,49.3,44.6,12.6,75.2,3.7,21.2,1.5,15.9,82.7,10.8,23.5,,5.8,32.5,1.2,6.4
24510010400,2870,6.1,15.5,26.2,19.5,66.4,4.9,8.1,2.9,65.9,82.6,75.8,3.2,48.9,46.3,12.6,76.9,4.7,24.3,1.7,16.8,83.2,10.6,24.6,,6.4,32.2,1.5,5.6
24510010500,1724,6.5,15.3,25.8,19.1,65.1,4.8,8.3,2.8,65.8,83.0,73.5,3.2,48.0,44.7,12.6,74.5,4.6,23.9,1.7,17.0,82.7,10.8,25.5,,6.5,33.1,1.4,6.8
24510020100,1884,8.4,14.8,25.6,19.2,63.4,4.3,8.8,2.8,64.9,80.2,71.8,3.6,46.3,43.0,14.9,71.3,4.8,23.2,1.8,19.0,82.9,12.2,26.5,,7.3,33.9,1.5,8.4
24510020200,2087,9.6,13.5,24.6,19.6,63.8,3.8,8.1,2.6,66.0,81.2,70.2,3.0,44.3,40.7,12.6,69.7,5.5,22.6,1.8,19.2,83.3,11.1,27.6,,6.8,35.0,1.5,8.4
24510020300,3344,6.2,15.5,25.8,19.4,66.3,4.9,8.2,2.9,66.0,82.8,75.1,3.2,49.7,46.3,12.4,76.1,4.8,24.2,1.7,16.8,83.0,10.6,24.9,,6.5,32.6,1.5,6.1
24510030100,3065,18.5,24.0,15.3,38.5,73.7,4.1,12.9,5.9,73.0,78.3,54.4,8.7,28.3,26.9,30.3,41.0,14.3,30.2,3.8,39.3,83.9,21.0,46.1,,16.6,48.2,4.7,28.2
24510030200,2342,9.6,18.5,20.8,26.1,70.4,4.9,9.4,4.1,69.0,81.7,67.6,4.8,40.3,38.0,17.2,62.6,7.5,27.0,2.4,23.5,83.5,13.2,30.9,,9.2,38.1,2.4,12.5
