FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
24510010100,10.5,2.4,55830.0,4.7,15.7,5.9,7.4,2.5,11.8,0.0,6.3,0.0,0.0,7.9,4.9,0.4034,0.0611,0.0563,0.19,0.5773,0.0213,0.1371,0.0843,0.2527,0.0,0.5628,0.0,0.0,0.6329,0.9014,3.0
24510010200,10.6,1.3,43737.0,7.8,5.9,13.1,9.3,2.3,22.6,1.9,4.6,0.0,0.8,10.0,0.0,0.4077,0.0171,0.1293,0.3577,0.062,0.0736,0.2622,0.0729,0.4268,0.5654,0.5044,0.0,0.3002,0.7114,0.0,7.7
24510010300,6.0,1.4,63708.0,5.3,5.8,13.2,4.6,1.7,13.1,2.2,0.7,0.0,0.5,9.0,0.0,0.1987,0.0196,0.035,0.2215,0.0594,0.0757,0.027000000000000003,0.0487,0.2755,0.6015,0.2858,0.0,0.24100000000000002,0.6772,0.0,4.9
24510010400,4.4,3.2,79140.0,2.9,9.2,6.0,10.4,0.0,16.0,0.7,36.8,0.0,1.9,2.6,0.2,0.1232,0.1208,0.0156,0.0944,0.1929,0.0217,0.3446,0.0,0.3253,0.3765,0.9065,0.0,0.5067,0.2455,0.4764,4.6
24510010500,7.8,1.9,49061.0,5.2,7.5,12.7,9.2,4.3,14.1,0.6,0.0,0.0,1.0,11.7,1.4,0.2823,0.0363,0.0878,0.2165,0.1162,0.068,0.2549,0.196,0.2937,0.3399,0.0,0.0,0.3591,0.7584,0.7384,10.7
24510020100,10.0,5.9,47430.0,8.8,5.9,12.9,6.2,6.7,28.9,5.0,0.0,0.0,1.8,16.7,0.0,0.3816,0.4053,0.0984,0.4092,0.062,0.0712,0.077,0.3909,0.5041,0.7599,0.0,0.0,0.4881,0.8461,0.0,10.5
24510020200,15.2,3.8,39265.0,6.8,7.0,11.2,2.4,6.8,41.7,3.7,1.6,0.0,1.1,15.9,0.0,0.5760000000000001,0.1746,0.1798,0.3041,0.0972,0.0531,0.0042,0.3972,0.6306,0.7037,0.3627,0.0,0.3777,0.8355,0.0,8.6
24510020300,8.0,3.2,80498.0,6.4,8.0,5.0,8.1,1.8,20.0,4.0,43.4,0.7,0.0,8.5,0.0,0.2915,0.1208,0.0145,0.282,0.1371,0.0182,0.179,0.0515,0.3891,0.7176,0.9282,0.4931,0.0,0.6584,0.0,2.4
24510030100,41.9,23.9,15793.0,23.4,4.4,24.4,18.8,23.6,86.0,0.6,17.1,0.0,7.3,52.9,2.6,0.9529,0.982,0.8787,0.8381,0.0312,0.6359,0.8416,0.9617,0.8859,0.365,0.7679,0.0,0.8668,0.9796,0.8229,9.4
24510030200,21.9,5.4,50758.0,12.2,9.7,15.2,10.9,8.7,51.3,0.0,46.7,0.0,0.0,22.0,9.9,0.7444,0.3492,0.0779,0.5587,0.2182,0.1111,0.3816,0.5393,0.6996,0.0,0.937,0.0,0.0,0.8953,0.9471,7.6
24510040100,26.6,4.1,44017.0,3.5,2.6,4.1,4.8,0.0,50.0,2.0,84.5,0.0,3.1,37.7,1.7,0.8224,0.2054,0.1262,0.1245,0.0143,0.0152,0.0311,0.0,0.6914,0.581,0.9861,0.0,0.662,0.9565,0.7602,3.0
24510040200,29.6,3.3,20935.0,6.9,2.6,2.8,7.5,0.0,56.8,0.0,84.6,0.0,1.5,29.0,60.4,0.8599,0.1288,0.7115,0.3098,0.0143,0.0115,0.1428,0.0,0.7339,0.0,0.9863,0.0,0.4508,0.9315,0.992,6.9
24510060100,32.7,7.5,26008.0,25.4,6.5,20.9,11.6,27.2,72.7,8.1,0.0,0.0,3.8,30.2,0.3,0.8915,0.5678,0.5095,0.8665,0.0799,0.3783,0.4344,0.9812,0.8183,0.8374,0.0,0.0,0.7206,0.9361,0.5296,17.5
24510060200,23.7,11.7,28985.0,19.6,6.3,23.7,7.5,11.8,55.8,4.2,1.3,0.0,2.8,24.5,0.5,0.7772,0.8235,0.4044,0.7714,0.0742,0.5823,0.1428,0.7141,0.7278,0.7277,0.3416,0.0,0.6246,0.9104,0.5908,19.1
24510060300,22.6,7.2,32482.0,15.7,6.5,21.8,8.2,10.1,63.1,2.7,0.4,0.0,0.9,18.8,1.2,0.7577,0.5405,0.3074,0.6767,0.0799,0.4451,0.1857,0.6252,0.7692,0.6371,0.2408,0.0,0.3294,0.8696,0.7179,9.2
24510060400,22.2,7.4,32233.0,17.9,16.9,6.6,30.3,2.4,75.9,0.7,30.7,0.0,1.4,45.1,0.0,0.7503,0.5591,0.3132,0.7335,0.6515,0.0239,0.9904,0.08,0.8340000000000001,0.3786,0.8777,0.0,0.43200000000000005,0.9698,0.0,4.2
24510070100,35.9,21.4,13467.0,32.0,6.5,32.8,15.8,32.2,98.0,5.4,0.0,0.4,10.5,53.0,0.2,0.9172,0.9721,0.9331,0.9282,0.0799,0.9471,0.7095,0.9929,0.9718,0.7713,0.0,0.4317,0.9202,0.9798,0.4488,14.2
24510070200,43.7,29.8,14309.0,27.1,6.7,28.2,20.1,24.8,99.3,0.3,0.0,0.0,5.5,59.8,0.4,0.9606,0.9933,0.9147,0.8859999999999999,0.0863,0.8315,0.8815,0.9691,0.9888,0.2624,0.0,0.0,0.8107,0.986,0.5788,17.0
24510070300,53.8,16.3,13975.0,28.1,9.3,31.4,16.5,19.2,97.5,10.1,1.2,0.0,5.1,40.9,2.5,0.9864,0.9295,0.9225,0.8965,0.1977,0.9234,0.7459,0.915,0.9665,0.8692,0.3344,0.0,0.7933,0.9631,0.8185,20.1
24510070400,47.4,11.6,14771.0,36.4,15.5,21.4,21.3,15.9,94.5,0.0,54.0,0.0,0.2,66.4,1.3,0.9735,0.8194,0.9041,0.9513,0.5647,0.4184,0.9104,0.8525,0.9397,0.0,0.9517,0.0,0.1812,0.9903,0.7287,7.9
24510080101,14.7,11.1,26183.0,10.0,7.5,30.6,7.6,23.4,77.6,0.0,0.0,0.0,0.0,16.6,0.7,0.5598,0.7993,0.503,0.4656,0.1162,0.9066,0.1489,0.9601,0.8432,0.0,0.0,0.0,0.0,0.8451,0.6516,5.1
24510080102,27.8,11.7,14965.0,13.8,6.2,28.3,12.4,19.7,98.6,0.0,0.0,1.2,2.3,45.2,0.0,0.8381,0.8235,0.8994,0.6168,0.071,0.8345,0.4919,0.9212,0.98,0.0,0.0,0.5477,0.5664,0.9699,0.0,10.5
24510080200,24.3,21.8,17949.0,24.3,17.2,21.0,17.7,8.6,95.5,1.6,14.0,0.0,5.1,52.6,0.0,0.7871,0.9740000000000001,0.8176,0.8516,0.6696,0.3869,0.7994,0.5267,0.9472,0.5263,0.7239,0.0,0.7945,0.9793,0.0,3.0
24510080301,23.0,20.4,19373.0,20.4,15.4,23.6,14.4,19.3,98.8,0.0,1.4,0.0,0.0,41.7,0.1,0.7651,0.9670000000000001,0.7707,0.7864,0.5585,0.5788,0.6287,0.9165,0.9828,0.0,0.3486,0.0,0.0,0.9642,0.4247,9.6
24510080302,32.2,13.9,16956.0,20.6,17.2,23.9,27.5,13.6,99.7,0.5,8.8,0.0,1.9,37.4,0.0,0.8873,0.8867,0.8485,0.7899,0.6696,0.601,0.9812,0.7861,0.9942,0.3186,0.6276,0.0,0.5058,0.9558,0.0,8.7
24510080400,51.2,29.2,12061.0,32.1,14.2,26.6,19.1,20.3,94.6,6.6,7.9,0.0,6.5,63.4,4.8,0.9824,0.9926,0.9585,0.9288,0.4821,0.7635,0.8513,0.9299,0.9409,0.8047,0.605,0.0,0.8462,0.9885,0.8981,13.5
24510080500,32.7,18.8,18534.0,21.4,12.8,26.4,19.7,22.8,99.5,2.6,3.5,0.0,0.0,50.0,0.0,0.8915,0.956,0.7991,0.8048,0.3954,0.755,0.8699,0.9547,0.992,0.636,0.4647,0.0,0.0,0.9762,0.0,8.8
24510080600,28.6,20.3,17220.0,22.3,12.3,22.3,16.5,20.5,95.6,0.0,5.5,0.0,2.7,49.3,1.3,0.8476,0.9665,0.8404,0.8209,0.3645,0.4847,0.7459,0.9326,0.9482,0.0,0.5364,0.0,0.6133,0.9754,0.7228,4.9
24510080700,28.7,37.3,14965.0,7.6,16.1,15.6,14.9,10.4,99.5,0.0,0.0,0.0,4.0,51.0,0.8,0.8486,0.9981,0.8994,0.348,0.6032,0.1213,0.6582,0.6411,0.9918,0.0,0.0,0.0,0.7313,0.9774,0.6644,6.3
24510080800,49.3,20.4,12964.0,25.6,4.0,47.8,18.5,51.8,94.6,1.2,20.1,0.0,0.0,56.6,0.0,0.9783,0.9670000000000001,0.9432,0.8689,0.026000000000000002,0.9991,0.831,0.9995,0.9407,0.4817,0.7995,0.0,0.0,0.9834,0.0,8.3
24510090100,20.6,9.9,25706.0,17.5,15.5,17.2,14.3,8.2,85.9,0.5,6.5,0.0,2.2,30.1,1.0,0.7176,0.7401,0.5203,0.7236,0.5647,0.1721,0.6227,0.4994,0.8858,0.3075,0.5688,0.0,0.5556,0.9357,0.6927,7.7
24510090200,11.1,9.6,31625.0,13.7,19.1,15.4,16.0,9.2,82.0,0.1,6.0,0.0,3.1,12.6,3.4,0.4283,0.7225,0.3287,0.6135,0.7694,0.1156,0.72,0.5725,0.8654,0.1741,0.5513,0.0,0.659,0.7789,0.8591,4.4
