TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
25025000100,4254,10.0,14.3,25.9,19.1,64.3,4.2,10.5,3.4,68.5,71.7,63.4,4.5,29.0,29.0,17.2,66.7,6.3,25.6,2.1,21.7,81.3,14.3,21.8,83.9,9.6,34.5,1.9,15.7
25025000201,3854,6.7,12.1,28.7,15.8,61.7,3.9,10.1,2.5,68.4,73.6,68.5,3.2,31.7,31.8,13.2,75.6,4.7,22.7,1.7,16.8,84.4,12.3,19.2,85.7,7.2,31.8,1.4,9.3
25025000202,3885,8.6,15.3,24.8,20.2,67.4,4.5,10.2,3.6,69.8,74.0,63.6,4.4,29.1,29.8,15.8,69.5,7.0,27.0,2.2,21.1,82.8,13.5,21.7,84.8,9.5,33.9,2.0,13.4
25025000301,2740,6.7,14.9,26.8,18.9,68.2,5.1,9.7,3.3,70.3,76.6,68.7,3.7,32.1,32.0,13.0,74.5,5.7,26.2,1.9,17.5,83.0,11.4,19.1,85.3,7.8,32.1,1.7,10.9
25025000302,3142,6.3,14.1,26.8,17.7,67.6,4.8,9.6,3.0,70.0,75.5,69.5,3.4,31.6,31.9,12.0,74.7,5.4,25.3,1.9,16.7,83.4,11.4,17.9,84.4,7.3,31.4,1.6,10.5
25025000401,5672,8.0,17.0,23.0,22.1,73.6,5.9,9.9,4.9,71.1,73.0,67.2,4.6,28.6,28.2,13.3,70.1,7.7,28.5,2.7,20.8,80.3,12.6,18.3,83.3,9.2,31.3,2.5,13.4
25025000402,3648,6.0,10.7,28.4,14.6,60.9,3.4,9.6,2.3,67.8,71.3,67.5,2.8,29.6,30.5,11.8,73.7,4.4,21.6,1.6,16.0,83.5,12.1,17.5,83.9,6.5,31.8,1.2,9.9
25025000502,6303,7.0,8.1,29.4,11.0,50.0,2.4,11.0,1.7,67.0,63.6,68.3,2.7,31.2,30.2,12.7,73.7,2.9,16.0,1.4,16.6,82.2,15.2,16.4,80.6,6.3,31.3,1.0,13.1
25025000503,2211,5.4,10.1,29.1,13.2,56.9,3.4,9.8,1.9,67.1,71.8,69.8,2.5,31.7,30.2,11.5,75.8,3.5,19.4,1.5,15.1,84.3,11.9,17.7,85.7,6.1,31.4,1.1,9.4
25025000504,4985,7.0,14.7,24.6,18.7,69.4,5.1,10.4,3.9,69.9,71.4,68.2,4.0,29.8,27.8,12.5,72.0,5.8,24.7,2.3,18.9,82.9,13.2,18.6,83.8,8.2,30.7,2.0,13.0
25025000601,3571,7.2,14.1,26.6,18.2,67.0,4.8,9.7,3.2,69.5,74.2,66.9,3.6,30.1,31.2,13.2,72.5,5.7,25.3,2.0,18.1,82.0,11.9,18.6,84.2,7.8,32.3,1.7,11.4
25025000602,3974,9.6,16.2,22.1,22.1,69.9,4.7,10.7,4.3,70.3,71.2,60.3,5.1,25.5,25.5,16.3,62.1,8.3,28.0,2.7,23.6,82.6,14.9,22.8,83.2,10.6,35.1,2.5,17.9
25025000701,4446,6.7,8.3,28.5,12.4,51.9,2.5,10.0,1.7,66.2,67.9,65.0,2.5,28.4,29.1,12.7,71.9,3.6,18.0,1.4,16.6,84.2,13.2,17.9,84.0,6.3,32.0,1.0,10.4
25025000703,2791,7.3,6.2,26.3,10.4,42.5,1.6,10.4,1.3,65.7,61.9,59.0,2.3,24.4,26.5,12.7,67.2,2.9,14.8,1.3,17.6,83.9,15.1,16.7,79.1,6.2,33.3,0.8,12.0
25025000704,4801,6.4,8.2,27.8,12.6,54.0,2.4,9.7,1.7,67.1,69.1,64.3,2.2,28.0,28.6,11.1,73.3,3.9,18.3,1.4,15.8,85.3,12.4,17.4,83.5,6.0,31.9,1.0,9.1
25025000802,8136,10.0,9.7,26.3,14.9,55.4,2.6,10.1,2.4,66.4,65.5,59.3,3.3,26.4,27.4,15.6,65.0,5.0,20.6,1.8,20.7,82.8,15.0,19.9,80.7,8.2,34.8,1.4,15.8
25025000803,6584,8.4,5.2,27.5,8.8,33.5,1.3,11.4,1.0,65.7,58.3,61.2,2.3,25.8,25.6,13.9,66.3,2.2,11.9,1.2,18.3,82.5,17.1,16.0,78.7,6.1,33.6,0.7,15.6
25025010103,4569,8.9,4.2,26.1,7.3,23.7,1.0,11.6,0.7,66.0,55.0,61.5,2.1,26.4,26.2,13.5,66.0,1.6,9.9,1.1,18.7,81.9,18.3,14.2,73.8,5.9,34.0,0.5,19.8
25025010104,4804,7.0,9.2,27.2,12.6,56.8,2.9,10.2,2.0,67.9,66.7,69.4,2.7,29.7,31.0,12.0,74.1,3.8,18.4,1.5,16.9,81.9,13.6,16.1,81.9,6.4,31.6,1.1,10.9
25025010203,5569,8.2,10.5,24.8,15.4,57.0,3.0,10.5,2.6,66.8,66.1,61.8,3.5,26.6,25.8,15.1,65.4,4.9,20.8,1.9,20.3,83.0,15.2,20.7,83.5,8.3,33.8,1.5,14.9
25025010204,3173,7.7,6.0,27.3,9.5,38.2,1.5,11.2,1.2,65.7,59.4,62.1,2.5,27.2,27.7,13.9,68.5,2.4,13.4,1.2,18.0,83.7,16.8,16.4,77.8,6.4,33.0,0.7,15.5
25025010300,4861,9.0,5.6,26.9,8.9,32.2,1.2,13.3,1.0,66.2,54.9,62.3,2.8,23.0,23.8,15.8,68.2,2.3,11.6,1.3,20.2,84.6,21.1,17.7,75.9,7.1,33.2,0.7,15.0
25025010403,3003,8.7,13.7,23.5,19.7,67.9,4.1,10.1,3.7,69.6,69.4,66.2,4.1,26.6,26.2,14.4,67.5,7.0,25.2,2.3,21.3,83.7,13.9,20.2,82.7,8.9,33.4,2.1,14.0
25025010404,5817,9.7,6.5,25.1,10.9,37.3,1.4,12.2,1.5,64.9,53.3,55.3,3.4,22.8,22.0,17.5,58.7,3.0,14.0,1.6,22.6,82.5,21.3,19.5,76.2,8.3,34.5,1.0,22.8
25025010405,5522,10.1,9.1,25.2,14.0,52.0,2.2,12.5,2.6,66.6,55.3,58.2,4.2,21.9,22.1,17.7,60.2,4.8,18.0,2.0,23.6,80.1,21.3,20.3,75.1,9.4,34.7,1.6,22.9
25025010408,1426,5.3,7.0,30.4,10.3,46.6,2.3,9.3,1.2,66.0,70.3,68.4,1.8,31.9,33.1,10.0,77.2,2.5,16.0,1.1,13.5,86.1,11.2,16.3,85.5,5.0,30.5,0.7,7.0
25025010500,3044,7.7,13.0,25.6,17.8,66.6,4.2,10.3,3.3,69.5,70.1,68.5,3.7,28.1,28.4,13.2,70.8,5.7,23.2,2.1,18.9,81.5,13.3,19.1,83.7,7.9,32.4,1.9,14.0
25025010600,2858,4.9,16.9,24.0,21.2,72.5,6.1,9.0,3.6,72.5,81.3,75.5,3.4,34.6,36.0,10.0,80.8,6.4,28.7,2.1,15.8,84.8,9.5,19.2,87.3,7.3,29.8,1.9,6.3
25025010701,2478,4.7,11.3,30.1,14.2,61.0,3.9,9.2,2.1,68.7,76.0,74.1,2.5,35.4,38.6,9.9,81.7,3.8,21.9,1.4,13.4,84.9,10.3,17.3,87.6,5.8,29.6,1.1,5.8
25025010702,2400,4.2,15.4,26.9,18.3,69.5,5.5,9.4,3.0,71.6,80.4,75.1,3.1,35.7,38.0,9.4,81.9,5.1,26.9,1.8,13.9,84.9,9.8,18.4,87.6,6.6,29.2,1.5,6.2
25025010801,2783,4.2,16.1,26.0,18.8,70.7,5.9,9.4,3.1,72.3,81.3,76.8,3.1,37.2,40.1,9.2,83.8,5.3,27.5,1.9,13.9,84.8,9.6,18.2,88.0,6.6,28.5,1.5,5.2
25025010802,3059,4.1,13.2,28.4,15.9,66.0,4.8,9.1,2.4,70.3,79.1,75.5,2.6,36.7,39.1,8.9,83.4,4.3,24.3,1.6,12.9,85.5,9.4,17.1,87.4,5.8,28.7,1.2,4.9
25025020101,4193,3.8,16.7,25.8,19.4,71.6,6.4,9.2,3.2,72.5,82.8,77.9,3.1,38.1,40.0,8.6,85.1,5.3,28.4,1.9,13.4,85.4,9.0,18.3,88.8,6.5,27.7,1.6,4.3
25025020200,3649,4.7,10.6,29.4,13.8,60.2,3.6,9.9,2.1,67.9,74.3,74.0,2.4,33.5,34.7,10.2,79.1,3.7,20.7,1.4,13.7,84.5,11.1,17.7,87.3,5.8,29.7,1.1,6.6
25025020301,2023,5.0,15.3,23.2,19.8,72.1,5.7,8.8,3.6,72.2,79.6,73.5,3.1,34.0,34.9,9.5,78.4,6.0,27.3,2.0,15.8,83.5,9.5,17.3,86.6,6.7,30.3,1.7,7.5
25025020302,1181,4.1,10.9,29.9,13.6,60.2,3.8,9.6,1.9,68.4,76.0,74.6,2.3,36.2,37.9,9.0,82.0,3.5,21.1,1.4,12.6,85.9,10.2,17.3,87.7,5.5,29.0,1.0,5.7
25025020303,3400,7.9,15.3,26.0,21.0,66.6,4.8,9.4,3.5,71.2,77.5,68.6,4.0,31.4,32.5,14.0,73.4,6.5,27.0,2.1,19.0,83.6,11.5,22.2,86.6,8.5,33.3,1.9,10.7
25025030100,1954,4.3,12.4,29.7,15.0,65.4,4.8,9.6,2.5,69.2,76.3,75.8,2.5,36.7,35.1,8.9,82.9,3.7,22.2,1.6,12.8,84.6,10.1,16.5,87.6,5.6,27.5,1.2,5.7
25025030200,1665,5.7,12.8,29.5,15.5,63.5,4.7,10.0,2.7,68.2,73.8,71.7,3.1,33.3,31.9,12.0,76.6,4.0,22.3,1.7,15.5,83.2,11.7,18.2,86.2,6.7,29.9,1.4,10.3
25025030300,4872,5.7,19.8,23.7,24.8,74.4,6.7,9.6,4.9,73.0,80.5,70.7,4.8,32.2,32.0,12.5,76.1,7.8,32.1,2.5,18.4,83.9,11.1,21.7,86.8,9.3,31.0,2.4,9.7
25025030400,2451,5.6,12.3,29.6,14.8,61.8,4.3,10.2,2.5,67.8,73.6,72.7,3.1,34.5,34.3,12.1,78.9,3.9,21.9,1.6,15.1,84.6,12.0,18.2,86.7,6.7,29.5,1.3,8.3
25025030500,2538,4.3,13.4,29.1,16.0,66.2,4.8,9.5,2.6,69.6,77.4,76.4,2.8,36.7,38.1,9.7,83.4,4.3,24.2,1.6,13.5,85.3,10.2,17.7,87.8,6.1,28.0,1.3,5.3
25025040100,2168,4.3,17.0,26.6,19.6,70.1,6.3,9.5,3.3,71.8,82.4,75.5,3.4,36.0,37.6,10.9,82.3,5.4,28.2,1.9,14.9,84.9,9.9,19.7,89.4,7.2,29.1,1.6,6.3
25025040200,1606,10.7,20.6,20.5,26.4,72.6,5.6,11.2,5.2,72.4,76.7,57.0,6.5,23.5,23.8,19.0,58.6,10.0,32.1,3.0,26.4,82.5,15.3,26.5,85.5,13.0,36.9,3.0,21.9
25025040300,3882,6.4,15.2,26.6,18.3,65.2,4.8,10.2,3.0,69.5,78.1,69.3,3.8,33.0,34.5,14.2,76.4,5.4,26.1,1.9,17.7,84.2,12.1,21.5,88.4,8.3,31.5,1.6,9.5
25025040401,2439,7.5,20.1,22.7,23.6,71.9,6.2,10.6,4.5,71.8,78.4,66.2,5.7,29.9,30.9,17.1,71.3,7.7,31.1,2.5,22.3,82.4,13.5,23.2,85.9,10.9,33.2,2.4,13.4
25025040600,2444,4.4,14.4,29.1,16.8,65.8,5.2,9.3,2.6,70.3,80.8,75.3,2.9,37.1,38.3,10.5,82.1,4.4,25.3,1.6,13.7,84.3,9.7,18.5,88.5,6.4,29.8,1.3,6.1
25025040801,3900,9.6,19.6,19.9,25.2,72.6,5.3,10.7,4.8,72.2,77.3,60.6,6.0,26.6,28.2,18.2,65.4,9.8,32.3,2.8,25.4,82.7,14.7,24.7,84.7,12.3,35.7,2.7,15.9
