FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
25025000100,16.6,7.6,33440.0,17.2,9.4,16.9,8.2,4.1,46.3,5.9,18.3,0.0,5.8,19.3,0.9,0.6189,0.5764,0.2849,0.7158,0.2026,0.1636,0.1857,0.1784,0.6655,0.7863,0.7812,0.0,0.8227,0.8743,0.6719,2.6
25025000201,14.3,2.6,43756.0,7.7,9.7,7.1,7.7,0.7,22.2,4.5,6.4,0.0,3.0,13.0,1.5,0.547,0.0746,0.129,0.353,0.2182,0.0262,0.1548,0.0206,0.4208,0.7384,0.5649,0.0,0.6447,0.7871,0.7488,5.9
25025000202,20.5,7.7,35206.0,11.6,11.9,17.1,6.4,12.4,38.8,4.2,14.8,0.0,3.7,18.4,0.8,0.7154,0.585,0.2471,0.5353,0.3405,0.1694,0.0851,0.7388,0.6057,0.7278,0.7367,0.0,0.7090000000000001,0.8653,0.6684,3.2
25025000301,12.4,1.9,42088.0,8.6,11.0,13.2,8.5,4.0,23.1,3.7,17.0,0.0,1.5,6.6,4.4,0.4788,0.0363,0.1465,0.3989,0.2875,0.0754,0.2059,0.1754,0.4326,0.7035,0.7656,0.0,0.4491,0.5682,0.8894,2.3
25025000302,16.4,0.3,37020.0,8.3,14.2,12.3,14.1,0.0,31.4,6.8,9.5,0.0,0.7,13.0,0.2,0.6128,0.0046,0.2139,0.3835,0.4821,0.0644,0.6097,0.0,0.5313,0.8103,0.6438,0.0,0.2886,0.7871,0.4734,3.7
25025000401,23.7,4.6,35465.0,15.5,19.3,10.2,16.4,2.9,36.8,16.2,54.9,0.0,2.2,43.4,0.0,0.7772,0.2594,0.2423,0.6707,0.7784,0.0436,0.7411,0.1018,0.5871,0.9289,0.9533,0.0,0.551,0.9672,0.0,2.1
25025000402,22.3,7.8,31495.0,2.8,8.7,12.0,7.8,3.0,33.1,1.9,29.5,0.0,4.0,18.5,5.2,0.7522,0.5936,0.3321,0.0892,0.1692,0.0601,0.1607,0.1102,0.5502,0.5675,0.8717,0.0,0.7293,0.8666,0.9054,5.4
25025000502,23.8,4.8,23199.0,4.1,7.6,0.9,8.9,0.5,23.5,3.4,86.8,0.0,2.0,35.6,51.7,0.7789,0.2823,0.6195,0.1566,0.12,0.0063,0.2331,0.0179,0.4383,0.6859,0.9881,0.0,0.5205,0.9516,0.9903,2.0
25025000503,23.0,6.4,40083.0,0.9,10.3,3.4,9.5,1.7,24.2,2.3,63.1,0.0,2.1,40.4,3.4,0.7651,0.4598,0.1691,0.0166,0.2495,0.0132,0.2773,0.0492,0.4483,0.6122,0.9657,0.0,0.5372,0.9620000000000001,0.8584,3.8
25025000504,29.0,4.5,32780.0,5.9,19.1,2.5,15.4,1.0,28.2,7.2,68.9,0.0,0.0,48.6,1.6,0.8524,0.2487,0.3,0.2539,0.7694,0.0107,0.6867,0.0275,0.4959,0.8182,0.9721,0.0,0.0,0.9745,0.7509,4.3
