TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
11001000100,4890,3.6,15.8,26.0,21.8,73.1,6.8,7.7,3.7,75.5,85.0,76.9,3.4,43.7,38.4,8.7,88.7,5.1,29.9,2.0,14.6,80.5,7.4,17.3,88.6,5.9,27.4,1.8,4.2
11001000201,3916,12.9,5.1,23.9,11.7,25.0,1.0,12.3,1.6,65.6,44.3,58.6,5.1,26.8,21.3,25.3,64.3,2.3,11.9,1.9,31.4,77.1,26.2,22.2,70.7,9.9,34.9,1.1,26.9
11001000202,5425,4.8,10.6,30.3,15.5,64.8,4.0,8.7,2.6,71.4,73.2,72.1,3.1,38.8,34.2,10.6,84.0,3.7,22.4,1.6,15.1,79.3,10.3,15.8,82.4,5.5,29.0,1.3,7.4
11001000300,6233,4.5,10.3,30.1,15.2,61.7,3.9,8.5,2.3,70.4,76.1,73.1,2.8,40.3,35.0,10.9,84.9,3.5,22.2,1.5,15.0,80.6,9.6,17.3,86.3,5.5,29.2,1.3,5.7
11001000400,1455,4.8,18.4,22.7,25.4,75.8,7.3,8.1,4.6,77.0,85.3,73.6,4.6,39.8,36.0,10.8,85.5,6.7,33.3,2.4,17.9,79.7,8.3,18.8,86.8,7.6,28.7,2.3,6.4
11001000501,3376,3.8,9.5,31.0,14.0,61.2,4.0,8.1,2.0,71.0,78.7,75.8,2.2,42.4,36.7,8.9,87.1,3.0,21.0,1.4,12.9,81.0,8.2,15.7,87.6,4.5,28.7,1.1,4.6
11001000502,3189,4.0,14.1,27.0,19.6,70.0,5.7,8.1,3.1,74.4,83.7,76.0,3.2,42.9,38.8,9.6,88.4,4.7,28.0,1.8,14.7,80.9,8.0,17.4,88.0,5.8,28.1,1.6,4.1
11001000600,4539,3.6,16.8,24.3,23.3,75.0,7.2,7.8,3.9,76.8,86.3,76.4,3.5,42.4,36.3,8.4,88.4,5.6,31.0,2.2,15.0,80.6,7.3,17.5,88.4,6.1,27.5,2.0,4.6
11001000701,4620,4.4,17.9,22.7,24.6,76.1,7.4,8.1,4.5,76.7,84.1,74.9,4.1,40.9,35.2,9.5,86.1,6.2,31.5,2.5,17.1,79.8,8.1,18.3,87.8,7.0,28.1,2.3,5.8
11001000702,3364,5.7,10.7,29.9,15.7,61.1,4.0,8.7,2.2,70.6,76.9,71.8,3.0,38.2,33.0,12.7,82.2,3.7,22.1,1.6,16.4,80.2,10.0,18.2,87.2,5.9,31.2,1.3,7.2
11001000801,6709,4.3,18.2,22.8,24.8,76.2,7.4,8.3,4.6,77.3,84.3,73.9,4.3,40.8,35.0,9.8,86.1,6.4,32.1,2.4,17.3,79.8,8.4,18.4,87.1,7.2,28.4,2.3,6.2
11001000802,2869,4.3,13.2,27.1,19.3,68.7,5.1,7.9,3.1,73.3,81.7,72.1,3.2,40.0,34.2,9.9,84.6,4.7,27.2,1.8,15.4,80.5,8.3,17.9,87.5,6.0,29.7,1.6,5.9
11001000901,7175,5.4,13.1,28.4,18.1,69.9,4.9,9.1,3.4,73.6,74.9,72.5,3.9,38.7,33.6,11.4,84.6,4.5,25.3,1.8,16.8,78.4,10.7,15.8,84.5,6.4,29.1,1.7,8.4
11001000902,2092,3.4,18.7,22.7,25.3,75.3,7.6,7.9,4.3,78.0,88.5,74.8,4.1,41.8,37.7,9.3,88.5,6.2,33.6,2.3,16.0,80.5,7.5,18.9,88.5,7.0,28.1,2.2,4.7
11001001001,7436,3.7,15.2,25.7,21.0,72.3,6.3,8.0,3.4,75.8,84.2,75.2,3.4,42.7,37.1,8.8,88.5,5.0,29.0,2.0,14.8,80.5,7.8,17.0,86.8,6.0,27.9,1.8,4.8
11001001002,3442,6.1,11.8,27.1,17.2,63.6,4.0,9.2,2.7,71.1,74.1,68.0,3.8,36.3,30.9,14.0,79.9,4.4,23.6,1.8,18.8,79.2,11.7,19.1,84.9,7.0,31.9,1.6,9.4
11001001100,4779,3.5,18.2,22.8,25.2,76.7,7.7,7.7,4.2,78.1,87.4,76.4,3.7,42.3,36.1,8.3,88.7,6.2,32.7,2.3,15.6,81.0,7.1,17.6,87.9,6.5,27.4,2.2,4.6
11001001200,5008,3.9,13.8,26.7,19.6,70.5,5.7,8.0,3.1,74.7,83.2,75.1,3.1,42.0,37.0,8.9,87.5,4.7,27.5,1.8,14.5,80.7,7.8,17.0,87.3,5.7,28.6,1.6,4.6
11001001301,3955,3.7,13.8,26.0,19.8,71.9,5.9,7.9,3.1,75.4,83.4,76.4,2.8,43.7,36.9,7.9,88.9,4.6,27.0,1.9,14.0,81.5,7.4,16.2,87.6,5.3,27.7,1.6,4.1
