FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
11001000100,3.3,4.2,125348.0,0.3,15.8,16.1,3.5,2.5,16.1,3.1,40.8,0.0,0.0,26.0,0.5,0.075,0.2157,0.0015,0.0059,0.5835,0.136,0.0113,0.084,0.3274,0.6691,0.9203,0.0,0.0,0.9189,0.5879,2.9
11001000201,66.3,6.6,3820.0,0.0,0.3,1.2,3.4,0.0,38.6,0.0,0.0,0.0,0.0,0.0,99.7,0.9963,0.4808,0.998,0.0,0.0051,0.0071,0.0102,0.0,0.6036,0.0,0.0,0.0,0.0,0.0,0.9974,1.6
11001000202,20.8,4.7,71687.0,1.0,13.2,8.7,7.3,3.2,22.7,1.4,28.8,0.0,1.0,20.4,19.4,0.722,0.271,0.0224,0.0191,0.419,0.0347,0.1315,0.1178,0.4279,0.5011,0.8681,0.0,0.3522,0.8841,0.9692,1.8
11001000300,17.4,2.1,70436.0,1.1,8.3,12.8,4.1,1.8,21.1,1.8,22.4,0.0,0.6,18.3,0.0,0.6409,0.0457,0.0238,0.0217,0.1506,0.0698,0.0187,0.0533,0.4057,0.5557,0.8223,0.0,0.256,0.8645,0.0,1.6
11001000400,10.4,0.5,142428.0,5.9,22.0,18.9,5.6,2.2,35.7,2.6,47.2,0.0,0.0,14.7,1.6,0.3991,0.0057,0.0006,0.2539,0.8726,0.2496,0.054000000000000006,0.0675,0.5768,0.6345,0.9382,0.0,0.0,0.8178,0.7549,4.8
11001000501,7.5,2.4,80961.0,1.2,11.4,10.7,8.0,5.5,26.1,0.0,93.9,0.0,2.3,39.2,1.8,0.2688,0.0611,0.0142,0.0246,0.3103,0.048,0.1729,0.2914,0.4709,0.0,0.9946,0.0,0.5695,0.9597,0.7709,2.0
11001000502,2.2,1.5,93679.0,2.1,16.7,12.9,4.5,1.5,23.5,0.6,65.3,0.0,0.4,25.8,0.0,0.0346,0.0222,0.0075,0.057999999999999996,0.6399,0.0708,0.0252,0.0435,0.4376,0.3452,0.9683,0.0,0.2058,0.9179,0.0,1.4
11001000600,5.9,1.9,116759.0,2.4,20.1,16.2,5.1,3.4,29.2,0.7,50.0,0.0,0.8,20.3,4.4,0.1942,0.0363,0.0025,0.0706,0.8122,0.1381,0.0378,0.1332,0.5075,0.3724,0.9444,0.0,0.3053,0.8832,0.8882,1.6
11001000701,12.0,3.6,76989.0,1.4,28.4,8.8,5.9,1.2,20.7,0.0,89.5,0.0,0.3,20.2,0.1,0.4641,0.1552,0.017,0.0307,0.9592,0.0349,0.0644,0.0346,0.3991,0.0,0.9904,0.0,0.19,0.8824,0.4017,2.4
11001000702,12.6,5.7,52065.0,5.8,9.5,7.6,5.6,7.1,31.0,0.7,87.3,0.0,3.1,37.4,0.0,0.48700000000000004,0.3825,0.071,0.2487,0.2079,0.0283,0.054000000000000006,0.4203,0.5278,0.381,0.9885,0.0,0.6556,0.9558,0.0,1.9
11001000801,12.1,7.4,93829.0,1.4,19.3,16.7,3.7,2.8,24.5,0.6,51.8,0.0,1.6,6.2,6.1,0.4677,0.5591,0.0075,0.0307,0.7784,0.1561,0.0131,0.098,0.4521,0.35,0.9476,0.0,0.4593,0.5447,0.9185,2.3
11001000802,16.5,3.4,71157.0,3.1,14.0,17.4,4.4,4.3,31.3,1.7,25.0,0.0,0.6,8.9,0.0,0.616,0.1372,0.023,0.1047,0.4696,0.1821,0.0231,0.1974,0.5304,0.5427,0.8429,0.0,0.2576,0.6731,0.0,1.5
11001000901,9.9,9.0,78508.0,2.6,14.3,15.1,8.2,1.8,31.1,1.8,9.9,0.0,0.0,6.6,41.2,0.3771,0.6839,0.0161,0.0799,0.489,0.109,0.1857,0.0521,0.5289,0.5544,0.6504,0.0,0.0,0.5682,0.9868,1.7
11001000902,2.3,2.5,124841.0,1.0,15.3,28.2,4.7,6.6,26.7,0.3,3.8,0.0,0.6,1.8,0.2,0.0375,0.0678,0.0016,0.0191,0.5523,0.8312,0.0292,0.3795,0.4785,0.2334,0.4748,0.0,0.2509,0.1623,0.4795,4.9
