TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
48085031704,3825,12.6,17.9,19.8,27.4,71.3,5.5,7.6,3.7,66.9,84.4,66.4,3.5,38.7,39.6,11.1,69.9,7.7,30.6,2.1,21.4,78.4,9.6,28.3,81.9,8.1,32.4,1.8,7.0
48085031706,2294,8.3,22.5,17.0,32.1,78.1,7.6,7.2,4.8,70.9,89.5,70.6,3.9,41.9,43.7,8.6,78.8,9.0,37.2,2.3,19.4,79.4,8.0,25.6,82.2,8.4,28.1,2.1,4.3
48085031708,3819,14.5,22.2,17.4,32.4,75.5,6.8,8.0,5.2,68.7,84.7,68.0,4.9,39.2,39.2,12.6,68.8,9.6,34.1,2.6,24.7,77.9,10.4,30.3,82.1,10.0,31.9,2.5,7.9
48085031709,4504,12.2,16.4,18.6,25.5,70.4,5.2,7.1,3.5,65.7,82.7,69.0,3.3,40.7,41.6,10.4,71.8,7.1,29.2,2.0,20.9,78.4,9.1,25.1,80.9,7.5,31.9,1.7,5.7
48085031711,3066,12.2,17.3,20.1,26.1,70.0,5.3,7.6,3.3,66.2,84.3,68.4,3.4,39.7,41.9,11.4,72.5,7.1,29.6,1.9,21.2,78.9,9.6,27.7,82.8,7.9,32.1,1.7,5.8
48085031712,4967,14.4,13.2,22.6,21.5,62.8,4.0,7.7,2.5,63.5,80.1,67.7,2.8,40.4,41.4,11.7,70.9,5.5,24.3,1.6,20.4,78.9,10.1,26.7,82.6,6.9,32.2,1.3,6.1
48085031713,3972,18.1,12.9,21.8,22.9,60.6,3.4,8.2,2.5,63.1,77.7,63.5,3.1,36.9,36.9,14.6,63.2,6.1,23.6,1.7,24.2,78.9,11.8,30.4,82.1,8.0,35.8,1.5,8.3
48085031714,5028,18.7,12.5,21.6,23.3,59.2,3.1,8.6,2.4,63.3,76.4,62.9,3.1,35.7,36.5,15.5,62.2,6.0,22.6,1.8,25.1,79.2,12.6,31.9,82.5,8.2,36.3,1.5,8.6
48085031715,2544,10.8,20.1,18.1,29.6,75.1,6.6,7.2,4.3,68.2,86.4,70.6,3.8,41.1,42.3,10.2,75.7,8.4,33.7,2.2,21.1,79.0,8.8,26.7,82.4,8.3,29.6,2.1,4.8
48085031716,2048,13.9,19.1,19.2,28.5,72.2,5.8,7.7,4.1,66.9,83.7,68.1,4.0,39.1,40.3,12.2,70.1,8.2,31.3,2.2,23.1,78.0,10.2,28.6,81.7,8.8,32.5,2.0,6.8
48085031717,2067,15.2,14.1,19.4,23.9,65.0,3.9,7.7,2.9,64.0,79.6,63.9,3.2,37.4,38.0,12.6,67.3,6.7,26.3,1.9,23.2,79.6,10.7,27.9,82.1,8.0,33.4,1.6,6.6
48085031718,2477,11.6,21.1,18.4,30.8,75.4,6.8,7.4,4.9,68.1,85.8,67.5,4.3,39.1,39.1,11.1,71.6,9.0,34.3,2.4,22.1,77.8,9.5,27.8,81.8,9.1,30.9,2.3,6.8
48085031719,1733,13.3,19.1,17.4,29.1,73.7,5.6,7.4,4.2,66.8,83.3,65.6,4.2,38.1,39.9,11.8,69.2,8.9,32.8,2.3,23.5,77.9,10.0,27.4,80.4,9.1,32.0,2.1,7.0
48085031720,4072,27.6,12.0,16.9,25.0,59.5,2.6,8.0,3.2,60.5,70.3,48.6,3.9,27.0,26.5,17.6,44.2,8.3,24.6,2.3,32.5,78.3,14.6,33.8,78.5,10.8,38.5,1.9,18.0
48085031804,467,11.5,50.2,2.8,63.9,92.8,21.3,6.5,19.6,87.7,94.1,74.3,11.1,36.3,31.9,4.5,65.0,20.3,52.5,7.3,35.5,68.0,5.8,22.8,80.2,16.1,22.2,8.5,12.5
48113000100,4009,11.3,16.7,22.3,24.7,68.6,5.6,7.8,3.5,65.5,84.6,68.4,3.4,41.3,35.7,10.9,77.7,6.4,30.6,1.9,19.5,76.7,9.6,25.6,84.3,7.9,28.0,1.7,5.6
48113000201,2875,10.1,16.7,22.6,23.8,68.8,6.0,7.7,3.4,65.3,84.6,71.6,3.2,42.7,37.0,10.2,80.1,5.9,29.6,1.9,18.4,77.4,9.1,24.1,85.4,7.4,26.9,1.7,4.5
48113000202,3409,12.1,13.9,24.7,21.5,63.2,4.5,7.8,2.8,62.2,80.8,68.0,3.1,38.6,34.1,12.2,75.3,5.4,27.1,1.7,19.6,76.5,10.3,25.3,84.5,7.5,28.6,1.5,5.7
48113000300,4080,11.9,12.9,24.8,20.5,62.8,4.3,7.7,2.7,62.1,79.5,69.9,2.8,40.3,36.0,11.2,77.2,5.1,26.1,1.6,18.8,77.2,10.0,24.0,83.4,6.9,27.6,1.4,5.2
48113000401,4830,34.1,14.0,18.1,28.7,63.4,3.1,8.6,4.5,61.2,71.4,46.1,4.9,23.1,19.8,20.8,45.1,11.3,29.8,2.8,36.6,74.8,16.1,35.5,78.6,13.6,36.4,2.6,17.9
48113000404,3451,21.4,14.7,21.8,26.4,66.6,4.4,7.1,4.0,63.5,80.4,60.0,3.7,33.2,28.6,13.5,64.2,8.6,30.5,2.2,25.1,75.3,10.5,28.4,81.4,9.4,31.3,2.0,10.0
48113000405,2710,33.9,16.2,18.0,31.6,66.1,3.4,9.7,4.6,64.0,73.9,50.5,5.6,25.8,21.4,22.4,46.3,11.8,30.4,2.9,37.1,75.9,16.4,37.4,79.5,14.3,37.9,2.9,19.8
48113000406,7200,34.6,14.0,18.5,26.4,65.5,3.7,7.7,4.2,62.9,75.8,55.8,3.8,28.7,25.0,15.0,58.6,11.0,30.3,2.6,32.7,75.5,12.9,31.2,79.1,11.6,32.0,2.1,11.1
48113000500,5537,16.5,13.8,23.2,23.9,66.4,4.7,7.1,3.4,63.9,81.6,66.5,2.9,38.8,33.6,10.3,72.2,6.7,28.3,1.9,20.5,76.8,9.2,26.0,83.6,7.4,28.8,1.7,7.3
48113000601,5987,29.1,14.8,20.9,27.0,64.1,3.8,8.0,4.3,61.5,75.7,53.4,4.5,28.5,25.3,17.6,54.3,9.4,29.9,2.4,30.9,74.8,13.5,32.8,81.3,11.6,33.4,2.2,15.7
48113000603,3465,11.5,13.9,24.7,22.2,65.0,4.8,7.3,2.9,63.4,82.7,71.3,2.8,42.4,38.7,10.6,78.6,5.6,27.9,1.7,18.1,77.4,9.1,24.3,84.5,6.8,27.6,1.4,4.4
48113000605,2145,11.7,13.5,24.2,22.4,65.2,4.5,7.2,3.0,63.0,81.6,68.6,2.8,40.2,37.6,10.4,75.3,5.8,27.7,1.7,18.5,77.8,9.2,24.6,83.4,6.8,28.6,1.5,5.2
48113000606,3035,9.9,21.3,19.4,31.0,76.7,8.1,7.2,5.1,69.9,87.7,73.1,3.9,43.0,38.6,8.8,79.5,8.2,36.2,2.4,19.1,76.1,7.9,24.2,83.7,8.0,26.1,2.3,4.8
48113000701,4048,10.1,8.9,27.9,15.2,53.4,3.1,7.3,1.6,59.6,78.5,70.7,1.8,44.1,39.9,8.6,79.3,3.2,20.7,1.2,14.9,78.0,8.7,20.9,84.5,4.9,26.9,0.8,3.7
48113000702,2758,12.4,11.8,25.9,19.0,61.1,4.2,7.5,2.5,61.6,79.0,68.6,2.5,42.0,34.3,10.4,77.2,4.4,24.0,1.5,17.9,77.1,9.5,22.7,83.9,6.2,27.3,1.3,5.5
48113000800,6355,29.7,12.4,20.3,24.4,60.6,3.0,8.6,3.3,61.4,73.4,54.6,3.7,27.6,23.4,16.8,56.5,8.8,26.5,2.3,30.7,77.0,14.2,32.4,81.9,10.8,33.2,1.9,11.9
48113000900,4743,27.7,12.1,21.6,23.5,60.4,3.2,7.8,3.3,60.2,74.4,53.3,3.5,27.9,24.7,15.6,57.2,8.3,27.0,2.2,28.7,75.9,13.0,31.4,82.3,10.2,32.0,1.8,12.6
48113001001,1602,13.5,17.7,21.8,26.2,72.2,6.9,7.3,4.2,66.6,83.4,70.5,3.4,40.4,33.3,9.9,77.8,7.1,30.8,2.3,20.4,77.0,8.8,23.1,84.0,7.8,26.2,2.1,6.0
48113001002,2204,22.2,13.3,22.5,23.6,63.5,3.9,7.8,3.5,61.6,76.8,59.8,3.4,31.4,26.5,14.2,64.7,8.2,28.1,2.2,25.6,76.1,12.0,28.9,82.1,9.4,30.4,1.7,8.3
48113001101,3358,15.5,12.4,25.6,20.3,60.0,3.9,7.9,2.5,61.2,78.9,65.6,3.0,36.8,33.7,13.2,71.9,5.3,25.5,1.6,20.6,76.2,10.8,25.6,83.3,7.5,29.7,1.3,6.8
48113001102,2284,10.6,13.6,24.8,21.0,63.7,4.8,7.5,2.6,63.1,83.0,71.0,2.6,42.9,37.2,10.2,80.0,5.0,26.8,1.6,17.6,77.6,9.1,24.3,85.8,6.6,27.3,1.3,4.2
48113001202,3133,18.6,13.8,21.9,23.9,64.0,4.0,8.2,3.0,64.1,79.6,64.0,3.3,35.0,31.4,13.0,69.3,6.9,26.7,2.0,23.5,77.5,11.3,29.1,84.0,8.5,31.0,1.7,7.7
48113001203,1477,25.0,15.9,20.8,26.3,66.5,4.4,8.0,4.1,63.2,79.5,58.1,4.3,30.9,27.3,15.3,60.9,9.1,31.0,2.3,27.8,74.8,12.2,30.3,81.1,10.8,31.9,2.1,11.8
48113001204,2572,47.4,17.3,16.3,32.2,66.7,3.6,8.9,6.2,61.3,71.4,42.5,6.1,20.3,17.5,21.8,40.0,15.5,34.4,3.6,43.8,72.9,18.0,39.9,79.3,17.8,35.8,3.3,22.1
48113001301,2605,15.9,19.4,19.9,28.3,72.5,6.7,8.3,4.9,66.4,81.6,66.8,4.5,37.7,31.0,12.6,72.3,8.3,31.8,2.6,24.1,75.4,11.0,26.7,83.5,9.7,28.4,2.5,8.5
48113001302,2828,27.0,16.1,19.4,28.1,65.5,3.8,8.8,4.4,62.1,75.9,55.3,5.1,28.5,25.5,18.5,56.8,10.0,30.4,2.6,31.7,76.3,14.9,34.9,82.2,12.7,33.3,2.5,13.5
48113001400,3756,27.6,16.5,19.8,28.4,65.7,3.9,9.1,4.5,62.4,75.0,53.1,5.5,28.4,23.7,19.8,53.5,9.8,30.5,2.6,32.3,74.7,15.3,34.0,80.6,12.9,34.5,2.5,16.3
48113001502,3328,39.3,16.5,18.0,30.9,65.0,3.4,9.4,5.4,61.3,71.5,47.4,6.1,23.8,21.1,23.2,45.9,12.8,32.0,3.1,39.5,73.8,17.7,38.4,79.7,16.0,35.9,3.0,20.0
48113001503,3111,42.4,19.3,15.5,35.8,68.6,3.9,9.8,7.3,61.9,69.9,39.8,8.2,19.5,17.1,26.7,32.9,16.0,35.4,4.0,44.7,71.6,19.6,40.8,77.5,19.4,38.9,4.3,32.5
48113001504,2463,29.2,18.1,18.2,32.7,69.1,4.0,9.1,5.5,63.3,75.3,51.9,6.2,26.0,23.4,21.8,50.5,12.5,33.2,3.0,35.5,76.0,15.9,37.1,80.9,14.6,35.8,3.2,17.0
48113001600,3696,17.7,16.1,19.7,29.1,70.2,4.5,8.8,4.0,66.6,78.8,64.6,4.0,31.9,27.9,14.4,64.3,9.0,28.8,2.5,25.9,78.6,11.9,30.9,83.6,9.4,32.7,2.5,11.5
48113001701,75,9.3,22.7,19.3,35.0,77.1,7.7,7.0,5.6,70.2,88.8,69.4,4.5,40.1,37.8,9.9,77.0,10.0,40.2,2.6,20.2,77.2,8.2,27.1,81.9,9.4,27.4,2.5,5.3
48113001703,3164,10.1,8.0,28.9,14.1,50.0,2.8,7.5,1.4,58.6,76.2,71.1,1.7,42.6,40.6,9.0,79.6,2.8,18.9,1.1,14.8,78.0,9.3,20.8,84.2,4.8,26.4,0.8,3.6
48113001704,1394,9.5,9.4,28.2,16.0,55.9,3.4,7.3,1.8,60.0,78.5,72.8,1.8,43.0,39.7,8.5,80.8,3.4,21.6,1.2,14.6,78.3,8.7,21.1,84.4,5.0,25.9,0.9,3.1
