FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
48085031704,4.0,1.9,53300.0,3.4,9.1,15.7,4.3,3.7,44.5,6.2,36.7,0.0,1.8,4.6,0.0,0.1047,0.0363,0.0657,0.1192,0.188,0.1244,0.0217,0.153,0.6521,0.7946,0.9059,0.0,0.4961,0.4328,0.0,14.0
48085031706,1.6,0.7,109560.0,1.4,19.8,19.2,5.5,1.0,18.8,0.3,0.0,0.0,0.0,0.7,0.0,0.0181,0.0076,0.0035,0.0307,0.8006,0.2678,0.0503,0.0273,0.3712,0.2495,0.0,0.0,0.0,0.0533,0.0,2.3
48085031708,10.9,3.6,57787.0,1.8,14.8,16.4,6.3,7.8,47.4,3.4,23.2,1.1,0.4,3.7,0.0,0.4202,0.1552,0.0494,0.046,0.5208,0.1449,0.0807,0.4712,0.674,0.6873,0.8286,0.5387,0.2085,0.3545,0.0,13.0
48085031709,7.9,4.3,50338.0,2.4,11.2,21.0,7.6,3.5,44.2,3.6,41.0,0.0,4.2,0.9,0.0,0.2872,0.2272,0.0801,0.0706,0.2986,0.384,0.1489,0.1416,0.6501,0.6983,0.9211,0.0,0.7476,0.0725,0.0,9.8
48085031711,5.3,4.2,49777.0,0.6,11.4,18.7,3.1,8.7,29.9,1.9,22.1,0.0,0.0,0.3,0.0,0.1656,0.2157,0.0834,0.0104,0.3103,0.2404,0.0079,0.5386,0.5151,0.5705,0.8191,0.0,0.0,0.027999999999999997,0.0,10.2
48085031712,5.7,2.0,36965.0,3.9,4.2,20.1,4.6,5.8,56.5,1.4,60.6,0.0,0.9,1.5,0.0,0.1848,0.0407,0.2147,0.1455,0.0284,0.3234,0.027000000000000003,0.3141,0.7319,0.5017,0.9618,0.0,0.3337,0.1299,0.0,19.4
48085031713,15.2,3.0,39493.0,2.6,3.6,19.2,3.5,15.4,65.3,5.6,78.4,0.0,2.3,0.5,0.0,0.5760000000000001,0.1043,0.1765,0.0799,0.0216,0.2683,0.0113,0.841,0.7809,0.7791,0.981,0.0,0.5708,0.0349,0.0,23.1
48085031714,13.7,5.4,30844.0,3.6,3.8,21.0,5.9,11.9,65.6,4.9,76.9,0.7,2.6,6.1,0.0,0.5265,0.3492,0.3494,0.1299,0.0235,0.3827,0.0644,0.7155,0.7823,0.7539,0.9797,0.4931,0.5999,0.5386,0.0,21.6
48085031715,4.6,4.3,67037.0,0.0,14.0,20.5,8.4,3.9,32.0,1.3,16.4,0.0,0.0,2.9,0.0,0.1322,0.2272,0.0289,0.0,0.4696,0.3521,0.1992,0.1679,0.539,0.4976,0.759,0.0,0.0,0.2769,0.0,9.1
48085031716,7.4,8.3,49422.0,0.9,14.2,10.8,6.7,8.1,33.7,3.5,37.3,0.4,1.5,4.3,0.0,0.2646,0.6337,0.0854,0.0166,0.4821,0.0486,0.0998,0.4925,0.5557,0.6906,0.9086,0.4317,0.4385,0.4074,0.0,9.9
