tract2010,Add A Bin,Add A Can,Add A Can CANCELLATION,Add A Cart,Add A Cart CANCELLATION,Air Pollution,Amenity New,Amenity Repair,Ashby Highrise Concern,Automated Recycling for Business NEW,Bandit Sign,Boarding Homes,Bridge and Barricade,Building Break In,Building or Sign Code,City Engineer,Clean Pavilion or Restroom,Complaint Form Request,Container Placement,Container Problem,Court Surface Repair,Crisis Cleanup,Dangerous Commercial Building,Dead Animal Collection,Disaster Preparedness Guide Request,Disaster Recovery Escalation,Drainage,Drainage System Violation,Drinking Water Public Notice,Dugout Repair,Dumpster Complaint,Dumpster Permit,Electrical Hazard,Environmental Health Escalation,Eviction Notice,Fence Repair,Fire Code Complaint,Fire Hydrant,Flashing School Beacon,Flooding,Fountain Repair,Fountain Repair Urgent,Fuel Island,Graffiti - ATT Telephone Equipment,Graffiti - CenterPoint Electrical Equipm,Graffiti - City Bridge,Graffiti - City Park,Graffiti - City Property,Graffiti - City Street/Curb,Graffiti - City Water Fixture,Graffiti - Harris County Flood Control P,Graffiti - Harris County Toll Road,Graffiti - METRO Bus/Rail,Graffiti - Railroad Fixture,Graffiti - School District Property,Graffiti - TXDoT Highway,Graffiti - Traffic Signal/Sign,Graffiti Private or Commercial Property,Health Code,Heavy Trash Violation,Hole in Unpaved Ground,House Move Route,Icing Bridge,Icing Roadway,Identify Numbered Address,Junk Motor Vehicle,Language Interpretation,Liaison Note,Lighting,Litter Esplanade Median,Litter Park,Major Water Leak,MayorSidewalk,Medical Evacuation,Minimum Standards,Minor Water Leak,Miss Complaint,Missed Garbage Pickup,Missed Heavy Trash Pickup,Missed Recycling Pickup,Missed Yard Waste Pickup,Mow Esplanade or Median,Mow Park,Multi-Resident Facility,MultiFamily Habitability Violation,Neighborhood Clean up,Neighborhoods Escalation,New CIP Request,New Move In Service,New Resident Container,New Resident in Private Development,Non Residential Collection CANCEL,Non Residential Collection Service NEW,Nuisance On Property,Nuisance on Commercial Property,Order Bag Tags,PWE CIP Project,PWE Escalation,Paint Stripes,Park Facilities Escalation,Park Forestry Escalation,Park Greenspace Escalation,Parking Escalation,Parking Lot Pothole,Parking Meter,Parking Violation,Pest Control,Playground or Court Equipment,Pool Fence,Pool Water Quality Control,Poor Drainage,Portacan Problem,Post Replace or Install,Pothole,Property Damage,Recycle Bin/Cart Retrieve,Recycle Program Start Up,Recycling Cart Repair or Replace,Recycling Participation NEW,Restoration Due To Utility Work,SPARK Park,SWM Escalation,Severe Storm Tree Removal,Sewer Manhole,Sewer Wastewater,Sidewalk Repair,Soccer Goal,Speed Cushion Repair,Spilled Debris,Sprinkler Repair,Storm Damage,Storm Debris Collection,Street Condition,Street Hazard,Subpoena,TPIA,Traffic Applications,Traffic Bridge/Freeway Lighting,Traffic General,Traffic Markings,Traffic School Zones,Traffic Signal Maintenance,Traffic Signals,Traffic Signs,Trail Repair,Trash Can New,Trash Dumping or Illegal Dumpsite,Tree Code Violation,Tree Planting,Tree Removal,Tree Stump Grinding,Tree Trim,Unclassified 311 Web Request,Unregulated Boarding House,Unregulated Residential Facility,Vehicle for Hire Complaint,Vital Statistics Escalation,Water Leak,Water Main Valve,Water Playground Repair,Water Quality,Water Service,Water or Ground Pollution
48157670101,0,62,2,0,1,16,0,0,0,0,1,0,2,0,26,3,0,0,1,275,0,2,0,82,0,0,47,1,0,0,3,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,234,0,0,0,0,0,22,0,0,0,1,0,0,0,0,5,0,0,339,248,172,17,0,0,0,0,0,0,1,3,67,0,0,0,89,0,0,18,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,15,1,1,0,66,58,27,1,105,1,2,345,0,0,0,5,0,0,14,53,63,0,0,1,1,3,0,2,4,3,40,0,0,33,0,0,9,0,30,4,0,0,0,0,320,61,0,18,119,1
48157670102,0,34,4,0,0,2,1,1,0,0,6,1,0,0,10,1,0,0,0,237,0,0,2,53,0,0,21,1,0,0,4,0,0,0,0,0,1,12,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,114,0,0,0,0,0,8,0,0,1,3,3,1,0,0,4,0,0,367,189,52,1,4,0,0,1,0,0,0,1,37,0,0,0,42,0,0,7,1,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,12,1,1,0,27,19,11,0,87,0,4,186,0,0,0,4,0,0,8,33,36,0,0,1,1,1,0,0,11,5,7,0,0,24,0,0,3,1,18,2,0,1,0,0,194,32,0,8,76,0
48157670200,0,66,15,0,0,32,3,0,0,0,4,0,3,0,56,9,0,0,7,445,0,2,0,122,1,0,44,2,0,0,3,0,0,0,0,1,0,17,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,192,0,0,0,0,0,74,0,0,4,7,11,3,0,2,4,1,0,534,470,190,45,1,1,0,4,1,0,4,0,51,0,0,0,113,3,0,26,2,0,0,0,0,0,1,0,163,0,0,0,0,1,0,1,16,2,1,0,59,37,42,0,153,1,14,371,0,0,0,10,0,0,71,56,119,0,0,4,1,12,2,4,17,9,68,1,3,43,0,0,39,8,109,19,1,2,0,0,360,66,2,27,120,1
48157670300,0,55,8,0,0,25,0,0,0,0,2,0,1,0,30,12,0,0,0,187,0,5,3,45,2,0,22,3,0,0,3,0,0,0,0,0,0,6,12,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,59,0,0,0,0,0,5,0,0,0,1,0,0,0,1,3,0,0,166,161,153,16,2,0,0,0,0,0,3,2,36,0,0,2,49,0,0,22,3,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,10,0,0,0,42,22,16,0,92,1,3,227,0,0,0,5,0,0,39,52,46,0,0,0,0,2,5,0,23,1,29,0,0,25,0,1,7,1,14,2,0,0,0,0,156,51,0,21,64,2
48157670400,1,46,5,0,0,12,0,0,0,0,1,0,0,0,10,3,0,0,1,149,0,1,3,59,0,0,13,0,0,0,2,0,0,0,0,0,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,71,0,0,0,0,0,12,0,0,0,9,0,0,0,0,3,0,0,129,188,152,37,0,0,0,0,0,0,2,0,30,0,0,0,51,2,0,50,5,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,5,5,6,0,23,19,65,0,56,0,10,236,0,0,0,4,0,1,29,32,115,0,0,0,0,7,3,0,6,3,49,0,0,40,0,0,4,0,24,5,0,0,0,0,282,48,0,22,195,1
48157670500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,11,8,7,4,2,0,0,0,0,0,0,2,1,0,0,0,12,0,0,3,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,1,0,2,0,5,0,4,0,0,3,0,0,0,0,0,1,4,16,13,0,0,0,0,3,1,0,29,4,8,0,0,6,0,0,1,0,5,1,0,0,0,0,48,2,0,1,8,0
48157670601,0,40,5,0,0,16,0,0,0,0,0,0,2,0,4,2,0,0,1,262,0,0,0,25,0,0,8,1,0,0,2,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,106,0,0,0,0,1,62,0,0,0,2,0,0,0,0,7,0,0,316,151,108,10,1,0,0,1,0,0,0,5,97,0,0,0,70,0,0,9,1,0,0,0,0,0,0,0,45,0,0,0,1,0,0,0,19,0,2,0,19,84,11,0,97,0,9,191,0,0,0,12,0,0,19,16,50,0,0,1,0,1,0,0,0,0,37,0,0,17,0,0,1,0,15,3,0,1,0,0,197,28,0,17,48,0
48157670602,0,18,2,0,0,10,0,0,0,0,2,0,1,0,6,0,0,0,8,127,0,0,0,32,0,0,6,2,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,54,0,0,0,0,1,21,0,0,0,1,0,0,0,0,4,0,0,76,103,104,14,3,0,0,0,0,0,1,1,16,0,0,1,42,2,0,4,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,5,1,1,0,17,16,1,0,51,0,1,102,0,0,0,2,0,1,11,15,28,0,0,1,0,1,1,1,0,0,9,1,0,23,0,0,2,0,3,2,0,0,0,0,89,25,0,6,34,0
48157670700,0,4,1,0,0,14,0,0,0,0,0,0,2,0,1,0,0,0,0,68,0,1,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,60,66,6,22,2,0,0,0,0,0,1,0,17,0,0,0,53,0,0,13,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,10,9,14,0,22,0,5,45,0,0,0,4,0,0,9,2,27,0,0,0,0,3,2,0,19,7,12,0,0,5,0,0,1,0,7,1,0,0,0,0,67,16,0,4,31,0
48157672001,0,5,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,59,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2,6,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,63,17,51,8,1,0,0,7,0,0,2,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,29,2,1,0,30,0,0,29,0,0,0,0,0,0,2,21,15,0,0,0,0,2,0,0,1,2,8,0,0,1,0,0,1,0,10,1,0,0,0,0,25,6,0,4,39,0
