TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
48157670101,6774,40.4,20.9,15.2,37.5,71.3,3.9,10.2,5.7,67.7,74.3,49.7,6.6,21.0,21.7,23.0,42.4,15.9,33.7,3.6,42.8,79.2,17.6,42.5,81.2,16.8,40.1,3.8,22.5
48157670102,3383,28.9,21.3,15.5,39.4,74.1,4.2,10.2,4.9,72.2,79.9,58.7,5.5,25.0,27.1,19.8,53.7,14.7,32.2,3.2,37.0,81.6,14.9,42.1,83.4,13.7,40.7,3.6,16.6
48157670200,8322,29.4,21.5,15.9,39.0,74.3,4.3,10.1,5.0,71.8,79.8,55.9,5.6,24.8,25.3,19.4,50.4,14.7,32.7,3.2,36.5,81.7,14.7,41.1,83.1,13.8,40.6,3.5,18.4
48157670300,3801,25.3,24.7,14.2,44.4,78.2,5.1,10.5,6.0,75.1,82.0,63.8,6.3,25.4,28.2,19.0,56.7,16.8,34.9,3.7,36.3,83.1,14.2,42.8,84.3,14.2,40.0,4.4,15.7
48157670400,5058,21.1,22.4,15.0,41.2,77.1,4.8,10.3,4.8,75.9,83.3,64.1,5.0,25.5,28.7,16.4,58.4,14.3,32.2,3.1,31.9,83.6,12.8,40.2,84.7,11.8,40.4,3.6,14.3
48157670601,3239,19.3,22.4,15.4,41.6,77.0,4.9,10.5,4.5,76.7,84.5,66.1,4.9,28.3,31.1,16.2,63.4,13.8,32.1,3.0,30.5,84.0,12.4,39.9,85.2,11.5,40.1,3.4,11.7
48157670602,1907,28.6,22.8,14.9,41.6,75.4,4.4,10.8,5.3,73.3,79.6,57.0,6.3,24.7,26.0,20.7,51.8,15.7,33.3,3.4,37.6,82.1,15.5,42.6,83.2,14.7,41.3,4.0,18.3
48157670700,1506,17.3,20.3,15.9,38.3,75.4,4.6,10.1,3.8,76.3,84.8,66.9,4.1,29.6,32.9,14.2,65.5,12.0,30.2,2.7,27.7,84.3,11.4,37.7,86.0,10.1,39.2,2.9,10.6
48157672001,2076,23.0,18.6,15.4,31.7,73.8,4.8,8.1,4.4,69.0,80.0,60.6,4.3,31.8,31.1,14.3,61.6,11.8,32.3,2.7,30.4,79.6,11.6,29.6,80.0,10.8,35.5,2.6,11.2
48157672400,146,21.6,18.6,14.3,35.3,74.4,3.8,8.8,4.4,71.3,80.6,53.3,4.6,24.0,30.5,16.8,57.6,13.6,32.9,2.7,32.5,77.7,12.6,32.5,78.9,11.9,39.8,2.9,11.9
