FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
48157670101,26.7,14.5,14751.0,43.4,9.6,30.7,9.4,15.5,98.0,23.6,0.0,0.0,16.1,1.0,0.0,0.8239,0.9001,0.9047,0.9758,0.2132,0.9091,0.2698,0.8420000000000001,0.9722,0.9673,0.0,0.0,0.9634,0.0811,0.0,35.3
48157670102,21.4,9.1,17603.0,20.6,4.5,34.8,11.2,23.5,98.9,8.2,0.0,0.6,11.8,5.6,0.0,0.7346,0.6907,0.8286,0.7899,0.0327,0.9704,0.4042,0.9608,0.9842,0.8386,0.0,0.4729,0.9339,0.5069,0.0,25.9
48157670200,14.8,17.4,17877.0,19.0,7.3,27.8,8.8,13.6,98.3,8.2,0.0,0.0,4.7,0.8,0.0,0.5632,0.943,0.82,0.759,0.1079,0.8179,0.2257,0.7867,0.9755,0.8381,0.0,0.0,0.773,0.0637,0.0,28.8
48157670300,15.5,9.3,19361.0,16.0,12.7,27.8,16.1,14.9,96.2,7.2,0.0,0.0,3.6,0.0,0.0,0.5858,0.7043,0.7711,0.6848,0.3896,0.8171,0.7253,0.8254,0.9536,0.8196,0.0,0.0,0.7052,0.0,0.0,17.2
48157670400,11.6,9.6,22144.0,11.7,8.8,29.9,11.1,19.6,95.6,1.9,6.8,0.0,4.7,3.5,0.2,0.4483,0.7225,0.6624,0.5393,0.174,0.8874,0.3966,0.9199,0.9487,0.568,0.5746,0.0,0.7754,0.3359,0.5018,16.4
48157670601,4.2,10.6,29080.0,11.3,9.4,20.3,8.0,11.5,94.8,1.7,2.2,0.0,4.6,2.2,0.0,0.1132,0.7759,0.4012,0.5225,0.2026,0.3338,0.1729,0.7004,0.9426,0.5435,0.3961,0.0,0.7685,0.2041,0.0,10.3
48157670602,14.2,7.4,17408.0,21.0,4.7,24.9,12.2,19.5,98.6,5.7,0.0,0.9,10.5,0.8,0.0,0.5435,0.5591,0.8343,0.7977,0.0356,0.6659,0.478,0.9194,0.9796,0.7813,0.0,0.5202,0.9203,0.0637,0.0,30.3
48157670700,8.1,9.0,38521.0,9.2,10.9,23.1,8.0,9.5,88.0,4.7,0.3,2.0,3.0,1.5,0.3,0.2964,0.6839,0.1901,0.4287,0.282,0.5375,0.1729,0.5923,0.8977,0.7476,0.2324,0.6048,0.6459999999999999,0.1299,0.5204,14.6
48157672001,15.0,6.5,23922.0,13.3,13.5,22.6,9.9,3.1,78.6,10.7,16.6,0.4,3.6,4.0,1.1,0.5696,0.4707,0.5908,0.5995,0.43799999999999994,0.5077,0.3064,0.1123,0.8478,0.8763,0.7605,0.4317,0.7029,0.3818,0.7033,20.4
48157672400,19.9,9.6,21201.0,14.4,9.0,28.0,6.4,7.2,77.2,9.9,0.0,0.0,6.2,0.9,0.0,0.7019,0.7225,0.7004,0.6373,0.1833,0.8244,0.0851,0.4258,0.841,0.8664,0.0,0.0,0.8381,0.0725,0.0,25.2
48157672900,6.7,5.3,30111.0,6.8,5.5,31.5,5.2,8.3,77.3,4.5,6.4,0.0,3.0,1.1,0.0,0.2323,0.33799999999999997,0.3698,0.3041,0.0523,0.9252,0.0409,0.5071,0.8414,0.7414,0.5662,0.0,0.6508,0.0902,0.0,15.5
48157673002,11.6,6.3,44089.0,5.3,8.1,29.0,6.4,11.6,52.9,3.5,28.1,0.0,3.8,4.6,0.1,0.4483,0.4492,0.1254,0.2215,0.1415,0.862,0.0851,0.7020000000000001,0.7098,0.693,0.8640000000000001,0.0,0.7195,0.4328,0.4037,10.0
48157673003,3.1,4.3,53430.0,1.1,4.5,34.9,2.2,8.7,45.5,2.6,0.0,0.0,0.0,0.4,0.0,0.0673,0.2272,0.0651,0.0217,0.0327,0.9712,0.0035,0.5349,0.66,0.6303,0.0,0.0,0.0,0.0299,0.0,2.9
48157673102,1.3,2.9,49400.0,2.4,9.2,34.2,5.3,8.2,45.8,2.6,7.6,0.4,1.7,1.4,0.0,0.0122,0.0962,0.0856,0.0706,0.1929,0.9651,0.0439,0.5021,0.6618,0.6349,0.5978,0.4317,0.4722,0.1195,0.0,3.3
48201100000,17.6,3.7,77193.0,13.3,6.6,2.5,14.1,1.7,47.7,5.3,97.5,0.0,3.1,16.9,35.4,0.6465,0.1649,0.0168,0.5995,0.0826,0.0108,0.6097,0.0478,0.6758,0.7689,0.9982,0.0,0.6619,0.8486,0.9839,8.1
48201210100,0.0,0.0,14945.0,37.4,1.1,2.5,28.6,13.2,86.3,10.1,30.9,0.0,7.4,7.4,97.3,0.0,0.0,0.8998,0.9559,0.0082,0.0108,0.9859,0.7722,0.8877,0.8693,0.8788,0.0,0.8684,0.6096,0.9965,0.0
48201210400,39.1,8.7,13793.0,49.7,12.8,30.8,17.6,16.0,95.1,23.7,13.8,0.0,12.5,27.7,3.5,0.9385,0.6632,0.9262,0.9876,0.3954,0.9119,0.7954,0.8559,0.9446,0.9678,0.7208,0.0,0.9397,0.9263,0.8619,30.2
