tract2010,Bulky Items,Dead Animal Removal,Electronic Waste,Feedback,Graffiti Removal,Homeless Encampment,Illegal Dumping Pickup,Metal/Household Appliances,Multiple Streetlight Issue,Other,Report Water Waste,Single Streetlight Issue
06037101110,2749,71,230,1,266,14,216,483,4,64,1,4
06037101122,1940,43,194,2,62,5,111,473,4,54,6,20
06037101210,2985,68,222,2,777,32,688,441,2,97,0,12
06037101220,1753,48,121,0,175,3,254,294,3,50,1,8
06037101300,2143,64,163,0,62,54,131,491,6,81,3,20
06037101400,2543,89,184,4,306,72,433,574,12,83,6,34
06037102103,913,27,78,0,77,4,58,180,6,17,1,14
06037102104,1536,53,164,1,79,29,73,395,20,32,1,16
06037102105,1010,29,92,0,40,13,100,192,0,19,2,3
06037102107,1648,113,110,1,193,76,220,338,26,91,4,35
06037103101,1608,30,127,0,39,13,49,335,1,21,4,4
06037103102,2880,99,243,1,453,67,159,599,4,62,3,9
06037103200,3361,167,250,2,259,470,320,670,40,134,2,61
06037103300,1876,146,140,1,73,26,182,475,24,69,3,42
06037103400,3930,135,307,1,403,230,433,741,8,96,4,17
06037104103,2151,85,233,2,117,67,185,342,8,45,1,17
06037104105,1896,66,184,0,374,39,210,422,6,19,0,9
06037104108,2165,86,230,0,360,57,326,294,9,52,2,33
06037104124,1716,100,184,0,119,23,140,344,15,36,1,20
06037104201,2280,119,236,1,2338,94,432,356,6,39,0,18
06037104203,1899,94,177,0,437,13,271,258,35,41,0,16
06037104204,931,62,89,1,315,123,242,157,9,38,0,28
06037104310,2293,114,259,1,447,117,325,383,32,74,1,39
06037104320,2740,184,218,2,707,429,827,367,51,94,2,50
06037104401,1260,92,129,2,360,29,166,190,7,25,1,23
06037104403,1376,113,137,3,623,73,383,185,28,110,1,33
06037104404,1281,93,136,0,463,25,255,200,2,33,2,8
06037104500,1387,111,153,2,360,5,403,197,3,47,1,3
06037104610,1451,114,115,1,219,31,228,208,7,48,2,8
06037104620,1598,116,151,0,156,4,335,206,21,41,1,9
06037104701,1023,67,74,1,152,20,296,131,3,47,1,23
06037104703,912,51,68,1,178,120,395,115,26,34,3,18
06037104704,1553,65,126,2,395,81,353,219,27,62,5,21
06037104810,2090,122,186,2,308,53,317,302,140,58,0,78
06037104821,1296,72,122,0,260,21,240,162,58,19,1,28
06037104822,870,58,80,0,374,67,210,107,77,45,4,35
06037106010,1412,82,156,0,169,45,110,291,8,48,5,10
06037106020,2539,111,244,1,474,27,273,461,5,71,2,17
06037106111,1989,68,238,0,171,7,61,522,21,32,3,63
06037106112,2995,125,297,0,1613,78,382,592,24,114,0,30
06037106113,1717,90,178,1,875,116,192,339,13,36,1,24
06037106114,2190,123,266,0,1626,78,291,336,13,47,0,17
06037106403,1696,133,207,0,1026,18,247,332,5,38,0,9
06037106405,1512,102,141,0,1462,39,943,242,9,36,5,15
06037106406,2585,153,232,1,461,79,479,503,66,84,18,58
06037106407,769,21,68,0,813,16,119,95,3,13,1,5
06037106408,1120,19,70,0,473,9,215,160,1,11,1,11
06037106510,2035,131,178,1,1073,81,347,527,32,77,3,67
06037106520,2492,185,283,1,849,220,483,477,13,67,2,70
