TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
06037101110,4731,12.8,20.2,18.9,26.8,68.0,6.0,9.6,5.5,65.9,80.5,61.5,6.5,27.9,34.0,16.2,61.0,9.6,33.8,3.0,21.4,77.9,13.8,24.8,83.7,13.3,36.8,3.0,12.4
06037101122,3664,8.5,20.0,19.8,25.8,69.6,6.7,8.7,4.8,68.5,85.1,69.1,5.2,33.3,41.0,12.5,71.9,8.3,34.1,2.6,17.0,79.1,10.7,20.8,83.7,10.5,34.4,2.5,7.1
06037101210,5990,18.2,19.7,17.7,27.7,66.0,5.0,10.4,6.2,63.2,74.8,57.4,8.0,25.2,30.6,21.1,52.9,10.9,33.3,3.5,27.0,77.5,17.5,29.4,84.4,16.3,38.4,3.5,16.5
06037101220,3363,15.3,20.7,18.0,28.2,68.9,6.0,9.6,6.1,65.8,79.8,59.7,7.0,27.0,32.7,17.1,57.7,10.7,34.6,3.3,23.8,76.9,14.5,26.6,84.8,14.4,36.9,3.3,14.0
06037101300,4199,8.7,22.6,18.7,28.2,71.8,7.8,9.2,5.9,69.1,84.6,69.6,6.3,33.3,39.5,13.2,71.6,8.9,35.5,3.0,18.3,78.1,11.5,21.9,84.6,11.8,33.2,3.0,8.2
06037101400,3903,10.1,21.6,18.8,28.0,70.6,6.9,9.3,5.9,67.6,82.8,64.7,6.4,30.7,36.0,14.5,66.1,9.4,35.1,3.1,19.7,78.8,12.5,23.5,84.4,12.5,34.8,3.1,10.5
06037102103,1740,9.0,19.4,20.2,25.5,69.8,6.9,8.5,4.8,68.1,84.4,70.3,4.9,33.5,40.4,11.6,73.6,8.2,33.2,2.7,16.8,79.5,10.4,20.9,85.4,10.1,32.7,2.5,6.7
06037102104,3648,8.7,18.7,19.9,24.5,69.3,6.4,8.8,4.7,67.5,82.6,69.5,4.9,32.5,39.9,12.1,71.9,7.8,32.2,2.6,16.8,79.5,11.1,20.6,84.8,10.1,33.4,2.4,7.3
06037102105,1731,19.1,17.9,17.4,26.4,66.8,5.0,8.9,5.4,65.1,79.2,59.3,5.6,25.7,31.7,14.9,58.9,11.4,32.9,3.3,24.6,78.9,14.0,27.6,84.3,13.9,36.6,2.9,11.6
06037102107,3851,10.8,23.3,16.8,30.5,73.9,7.9,8.9,6.9,69.6,83.7,66.2,6.6,30.3,34.3,12.8,66.4,10.5,36.3,3.6,20.5,78.6,11.8,23.7,85.2,12.8,33.8,3.6,10.5
06037103101,2670,10.0,20.1,19.8,26.2,68.8,6.4,9.0,5.1,67.2,83.5,66.5,5.7,31.8,37.7,13.8,68.5,8.6,34.0,2.8,18.5,78.8,11.8,22.7,84.5,11.5,34.9,2.7,8.8
06037103102,4751,12.5,19.7,18.7,26.5,69.0,6.1,9.0,5.4,66.8,81.6,63.8,5.9,29.3,35.2,14.8,64.5,9.4,33.8,2.9,20.8,78.2,12.6,23.2,83.6,12.3,35.7,2.9,10.5
06037103200,6146,12.1,21.7,18.0,29.2,71.3,6.7,9.2,6.2,67.9,82.7,62.8,6.6,28.0,33.4,14.5,61.3,10.4,35.4,3.3,21.1,78.3,12.7,25.0,84.7,13.1,35.8,3.3,12.5
06037103300,3819,7.1,20.0,19.8,25.7,70.5,7.3,8.3,4.9,69.2,86.7,70.8,4.6,34.4,41.1,9.9,75.1,7.8,34.0,2.6,14.9,80.1,9.5,20.8,86.6,9.5,31.8,2.4,6.3
06037103400,6143,10.7,20.8,18.9,27.2,69.8,6.6,9.1,5.5,67.4,82.8,66.9,6.0,31.4,37.5,14.0,68.5,9.3,34.3,3.0,19.6,78.8,12.3,23.7,84.9,12.1,34.5,2.9,9.0
06037104103,4085,20.9,16.2,18.4,25.8,66.4,4.4,9.0,4.5,66.0,79.4,60.5,4.7,24.1,31.7,13.9,58.7,10.9,30.9,3.0,23.6,79.9,13.1,26.9,84.9,12.5,37.6,2.7,11.8
06037104105,5412,25.5,15.5,17.2,24.8,62.9,3.8,9.6,4.5,63.6,75.7,51.8,5.0,20.5,25.6,16.0,48.7,11.4,30.4,3.3,27.2,79.5,15.6,29.4,85.1,14.6,38.9,2.8,15.9
06037104108,5256,25.1,16.0,18.2,25.7,64.8,4.2,9.5,4.9,64.6,76.6,53.8,5.0,20.4,25.9,15.3,48.7,11.3,30.3,3.2,26.0,78.6,14.6,28.5,85.1,13.8,38.9,2.9,17.6
06037104124,3652,15.5,16.0,19.8,24.3,66.1,4.7,9.1,4.0,66.4,81.0,64.5,4.3,26.8,34.3,12.6,64.8,9.1,29.7,2.7,19.8,80.9,12.0,24.9,85.9,10.8,36.1,2.4,9.9
06037104201,4780,28.4,15.1,18.3,25.1,62.3,3.6,9.6,4.7,62.7,74.0,51.1,5.0,18.8,24.1,16.4,45.7,11.6,29.9,3.3,28.2,79.7,16.0,30.9,85.2,14.8,39.4,2.9,19.6
06037104203,5210,31.3,16.1,17.4,26.6,62.9,3.8,9.7,5.4,62.5,73.5,50.9,5.6,18.6,23.9,18.0,44.8,12.7,31.2,3.6,30.6,78.7,16.9,31.8,84.9,16.3,39.5,3.3,19.3
06037104204,2886,25.6,17.6,16.8,28.2,65.8,4.3,9.5,5.7,64.4,76.6,53.3,6.2,20.5,26.0,18.1,47.8,12.7,33.0,3.5,28.9,78.2,15.6,30.1,83.6,15.9,39.8,3.4,17.9
06037104310,4921,30.1,15.1,18.6,24.6,61.6,3.8,9.4,4.8,62.5,74.6,50.0,4.8,18.2,23.5,16.3,44.7,11.5,30.3,3.2,28.3,78.5,15.5,29.7,84.6,14.7,39.0,2.7,18.0
06037104320,5998,28.9,15.8,18.0,25.9,64.1,4.0,9.2,5.2,63.3,75.1,51.9,5.0,18.9,24.2,15.7,47.0,12.1,30.9,3.5,28.2,78.6,15.3,29.8,85.0,14.8,38.6,3.1,18.0
06037104401,3357,30.1,15.8,18.3,25.1,62.9,4.1,9.2,5.2,62.9,75.1,49.8,4.9,19.5,23.5,15.7,46.5,12.1,31.6,3.4,28.3,78.5,15.3,29.0,84.2,15.0,37.9,2.8,15.8
06037104403,3282,29.2,15.6,18.5,25.2,63.5,4.1,8.9,5.1,63.2,75.7,53.3,4.7,20.3,25.8,15.1,49.7,12.0,31.6,3.3,27.6,78.6,14.6,28.7,84.7,14.4,37.2,2.7,13.8
06037104404,3236,31.8,15.6,17.8,25.6,61.9,3.8,9.3,5.3,61.9,73.2,48.2,5.3,17.7,22.4,17.3,43.1,12.6,31.7,3.5,30.2,78.0,16.5,31.0,84.8,16.1,38.8,2.9,17.2
06037104500,3293,28.8,15.8,18.1,25.4,63.2,4.1,9.0,5.3,63.0,76.1,52.8,4.9,20.3,24.7,15.3,49.0,12.1,31.6,3.4,27.7,78.3,14.9,29.5,85.5,14.8,37.7,2.8,14.7
06037104610,3672,30.9,14.6,18.9,23.9,60.2,3.7,9.1,4.8,61.7,73.9,50.9,4.6,19.1,24.0,16.1,46.8,11.4,30.1,3.2,28.3,78.2,15.6,29.5,85.1,14.7,38.2,2.6,15.0
06037104620,3539,30.3,16.1,17.9,25.8,63.4,4.1,9.2,5.4,63.1,75.2,53.3,5.1,19.5,24.5,15.9,49.4,12.5,32.0,3.5,29.0,79.1,15.5,29.8,84.5,15.4,37.5,2.9,14.0
06037104701,4208,36.7,17.3,15.1,28.2,62.7,3.6,10.6,6.3,61.3,69.6,41.1,7.0,14.6,18.1,21.5,33.0,15.0,33.3,4.3,36.5,77.9,20.6,35.5,84.5,20.5,41.0,3.7,25.7
