tract_id,AC_LAND,AC_TOT,AC_UNPR,AC_WATER,AUTOOWN0,AUTOOWN1,AUTOOWN2P,COUNTHU10,E5_ENT10,E5_IND10,E5_OFF10,E5_RET10,E5_SVC10,E8_ED10,E8_ENT10,E8_HLTH10,E8_IND10,E8_OFF10,E8_PUB10,E8_RET10,E8_SVC10,EMPTOT,E_HIWAGEWK,E_LOWWAGEW,E_MEDWAGEW,HH,R_HIWAGEWK,R_LOWWAGEWK,R_MEDWAGEWK,TOTPOP10,WORKERS,CBSA_EMP,CBSA_POP,CBSA_WRK,D2b_E5Mix,D2b_E5MixA,D2b_E8Mix,D2b_E8MixA,D2a_EpHHm,D2c_TrpMx1,D2c_TrpMx2,D2c_TripEq,D2r_JobPop,D2r_WrkEmp,D2a_WrkEmp,D2c_WrEmIx,P_WRKAGE,PCT_AO0,PCT_AO1,PCT_AO2P,R_PCTLOWWAGE,E_PCTLOWWA,D1A,D1B,D1C,D1C5_Ret10,D1C5_Off10,D1C5_Ind10,D1C5_Svc10,D1C5_Ent10,D1C8_Ret10,D1C8_Off10,D1C8_Ind10,D1C8_Svc10,D1C8_Ent10,D1C8_Ed10,D1C8_Hlth10,D1C8_Pub10,D1D,D2A_JPHH,D3a,D3aao,D3amm,D3apo,D3b,D3bao,D3bmm3,D3bmm4,D3bpo3,D3bpo4,D4b025,D4b050,D4d,D5ar,D5ae,D5br,D5be,D5cr,D5cri,D5ce,D5cei,D5dr,D5dri,D5de,D5dei,WalkIndex
06037101110,282.2922824094,282.29427124,281.10729979999996,0.0,159.0,414.0,1157.0,1734.0,0.0,31.0,8.0,13.0,430.0,144.0,0.0,110.0,31.0,3.0,5.0,13.0,176.0,482.0,132.0,231.0,119.0,1641.0,754.0,625.0,701.0,4731.0,2080.0,5566994.0,12828836.999999998,5175603.0,0.32012856097670767,0.2757437335648736,0.729177984426795,0.6823538012122021,0.39543551272692,0.4160612925745965,0.4556251765046696,0.7280402674631743,0.18492230961058898,0.3762685402029664,4.3153526970954355,0.03632123592356706,0.8032105094060452,0.09251012687427912,0.23978004613610152,0.6676998269896193,0.300476125,0.47385892116182576,6.168456666607875,16.82985529103302,1.7146470708251422,0.04624566228224994,0.028458885111178004,0.11027799465463335,0.6260949804927446,0.0,0.04624566228224994,0.010672081756974738,0.11027799465463335,0.6260949804927446,0.6260949804927446,0.5122598629916018,0.39130968529341226,0.017786803354233216,7.883103737440735,0.29372312248628885,21.32741930423786,0.0,5.07248751391905,16.25493125719505,117.16213550367058,0.0,54.40681232936533,24.93629096536859,49.87315101680769,22.671110558091872,0.0,0.0,245.60862399171364,287455.27974334796,514433.286812857,3208.8788497684454,5212.770566525082,7.310529533989276e-05,0.3070176511329759,0.007888968279067652,0.31701765113297586,2.5939958446188307e-05,0.018490494424291792,5.146334449682989e-05,0.03539067718560337,13.656639859177522
06037101122,653.3499999999999,653.3499999999999,579.1319885,0.0,23.0,290.0,1053.0,1369.0,9.0,75.0,4.0,18.0,62.0,0.0,9.0,0.0,75.0,4.0,0.0,18.0,62.0,168.0,27.0,76.0,65.0,1325.0,754.0,448.0,527.0,3664.0,1729.0,5566994.0,12828836.999999998,5175603.0,0.7536834099727089,0.7536834099727089,0.7536834099727089,0.583332894755381,0.2725009011968967,0.34013287446373247,0.3532506673187652,0.016844835016685326,0.08768267223382042,0.1771217712177121,10.291666666666666,9.218928336263161e-05,0.8236848034934497,0.01748227173119065,0.21236078889700508,0.7701469393718042,0.259103984962406,0.44999999999999996,2.363883479415333,6.326712417695361,0.29008947670103075,0.03108102471558001,0.006906894381233267,0.12950424678140876,0.10705681509629324,0.015540495727160885,0.03108102471558001,0.006906894381233267,0.12950424678140876,0.10705681509629324,0.10705681509629324,0.0,0.0,0.0,2.6539729561125456,0.12679252528301885,11.911141687334508,0.0,0.5230489018137293,11.38809290579322,40.81794854228974,0.0,5.871750975740416,0.0,42.11191933879238,8.812840743858576,0.0,0.0,0.0,248425.18456288363,443848.5658284764,0.0,0.0,6.3e-05,0.27,0.0068066286064131015,0.27,0.0,0.0,0.0,0.0,5.503405525369251
06037101210,160.79055358889997,160.79055358889997,158.47740180000002,0.0,108.0,884.0,1321.0,2317.0,56.0,164.0,60.0,25.0,583.0,1.0,56.0,90.0,164.0,54.0,6.0,25.0,492.0,888.0,138.0,523.0,227.0,2150.0,625.0,894.0,931.0,5990.0,2450.0,5566994.0,12828836.999999998,5175603.0,0.649339381638866,0.649339381638866,0.6528666909775539,0.6528666909775539,0.5076953306195088,0.5430708316800487,0.5823774491604448,0.906641411166613,0.2582145972666472,0.5320551228280408,2.759009009009009,0.17221544324051846,0.7702769315525876,0.047023388001726375,0.38229292188174363,0.57067369011653,0.36489160816326527,0.5838738738738739,14.620383024269133,37.79719146881234,5.603322120395355,0.15775114231572054,0.3786027487746488,1.0348474868564088,3.104543645311894,0.35336271226258986,0.15775114231572054,0.34074245344970566,1.0348474868564088,3.104543645311894,3.104543645311894,0.006310045211512099,0.5679043396633231,0.037860295324763885,20.22370514463001,0.41302299906976747,18.252258400404166,0.0,3.5498422202797073,14.702416007967448,79.61090249448665,0.0,15.91711106700661,19.896843577324265,43.77886280522756,19.896843577324265,0.0,0.0,437.8364425401047,291774.0935212134,522428.3004561251,2516.8983418104435,10199.69125727818,7.44556859738622e-05,0.314556859738622,0.008011959938667889,0.32455685973862203,2.034614745784996e-05,0.010000000000000002,0.00010069694708764018,0.07544314026137802,13.671000466152686
06037101220,172.72177124029997,172.72177124029997,172.7217941,0.0,208.0,405.0,700.0,1317.0,3.0,23.0,24.0,8.0,324.0,61.0,3.0,17.0,23.0,19.0,5.0,8.0,246.0,382.0,61.0,244.0,77.0,1246.0,475.0,435.0,572.0,3363.0,1482.0,5566994.0,12828836.999999998,5175603.0,0.373888695821678,0.373888695821678,0.5814487978902891,0.5814487978902891,0.38287719437820394,0.43513025556904167,0.4770162348728644,0.7338513849629084,0.2040053404539386,0.4098712446351931,3.8795811518324608,0.05615827970133661,0.7751918673803152,0.15882093394077446,0.3084837129840547,0.5326787927107062,0.29351518218623485,0.6350785340314136,7.624980488591489,19.470622157685373,2.21164973313185,0.046317281980375116,0.13895184139932423,0.13316216752626578,1.4242562392262414,0.01736898074262099,0.046317281980375116,0.11000354016136024,0.13316216752626578,1.4242562392262414,1.4242562392262414,0.3531689980516137,0.0984242242080282,0.028948301237701653,9.836630221702348,0.30658098876404494,20.438194042797225,0.0,6.89357677383823,13.544617598631222,118.60290388189931,0.0,81.51020700218554,22.23267689571769,51.86802179408264,7.406949394999436,0.0,0.0,222.32299092381254,299377.4350777196,533460.3044001526,2510.044959353354,6402.329851488687,7.66236342808258e-05,0.32049453712330317,0.008180967798383938,0.3304945371233032,2.0290738021457556e-05,0.015247268561651569,6.320734282037249e-05,0.04623634280825785,14.207719669227316
06037101300,637.6245544434,637.6345544434,615.2006072999999,0.0,35.0,307.0,1235.0,1582.0,179.0,17.0,68.0,241.0,388.0,41.0,179.0,175.0,17.0,61.0,7.0,241.0,172.0,893.0,129.0,415.0,349.0,1542.0,870.0,730.0,575.0,4199.0,2175.0,5566994.0,12828836.999999998,5175603.0,0.8135288406107658,0.8135288406107658,0.841801162738251,0.841801162738251,0.63477845275554,0.7402725830616483,0.8205684659429785,0.7199046879428392,0.3507462686567163,0.5821382007822686,2.435610302351624,0.2379700859843422,0.8323355417956657,0.02263760429835651,0.19555337547408347,0.7818010998735776,0.3356282988505747,0.45734602463605817,2.5715179968381836,6.825413367220922,1.4515585781263953,0.39174215742743784,0.11053301803535648,0.027633263168449468,0.2795834874023771,0.2909618345860673,0.39174215742743784,0.09915462132157828,0.027633263168449468,0.2795834874023771,0.2795834874023771,0.0666448315246259,0.28445998597954186,0.01137839671374934,4.023076574962991,0.579117878080415,13.229699749465944,0.6051277805702051,2.2997121918118877,10.32485965370555,63.58840777971318,1.2539384742063793,26.093987964832053,2.0040306788883275,57.20995544331143,6.020648109693232,0.0,0.0,184.01722411973716,314161.8437121183,552955.3505048414,2186.1891811023665,4448.8146154893775,8.048811844442822e-05,0.3379674179360506,0.00847984792415051,0.34331703391314833,1.767277767892608e-05,0.009999999999999998,4.392115257473959e-05,0.028736581936050783,14.3274658656995
06037101400,1559.01,1559.03,1470.6991005,0.0,52.0,465.0,1047.0,1568.0,35.0,22.0,11.0,31.0,589.0,61.0,35.0,268.0,22.0,6.0,5.0,31.0,260.0,688.0,198.0,338.0,152.0,1498.0,691.0,619.0,520.0,3903.0,1830.0,5566994.0,12828836.999999998,5175603.0,0.3730566570952373,0.3730566570952373,0.6868390198206274,0.6868390198206274,0.4530746167750813,0.5173157712548435,0.570942832829586,0.8211118511270763,0.2997168372903507,0.5464654487688642,2.6598837209302326,0.19016109057072073,0.8252561491160645,0.03358995535714286,0.2975084375,0.6688870089285714,0.3382458961748634,0.4845058139534884,1.0661594973546706,2.653839540902467,0.4678047460550562,0.021078387397745917,0.007479439758961202,0.014958865605907966,0.17678652005547643,0.02379819251276055,0.021078387397745917,0.004079693571672836,0.014958865605907966,0.17678652005547643,0.17678652005547643,0.04147689364008211,0.1822264470847746,0.0033997461872800998,1.5339642434101033,0.4592792937249667,9.040035891308058,1.6125031590155416,1.1517378932937765,6.275794979397749,29.557913869282427,1.737849532716275,4.099673469319848,1.2305671199148118,34.068000866911106,2.8695076205827763,0.0,0.0,102.63425730717178,272640.1830121441,485746.8484158143,1835.7247212689942,4281.7151159374735,6.931604908180086e-05,0.29493518405675323,0.007449593388196507,0.2965802454090043,1.4839680497348165e-05,0.010318399482492276,4.227143914938411e-05,0.0240190374784321,11.005258074034161
06037102103,293.18,293.18,247.55499269999996,0.0,55.0,129.0,494.0,680.0,18.0,2.0,0.0,0.0,61.0,2.0,18.0,1.0,2.0,0.0,0.0,0.0,58.0,81.0,4.0,50.0,27.0,630.0,301.0,265.0,239.0,1740.0,805.0,5566994.0,12828836.999999998,5175603.0,0.581812437883329,0.39714877412815297,0.5035528936342883,0.3897378703304272,0.3083474745275112,0.4250083227229813,0.47113925702598447,0.20260883466469454,0.08896210873146615,0.182844243792325,9.938271604938272,0.00013126772671348094,0.8454,0.08233,0.19011,0.72754,0.32919,0.61,2.74686305996,7.0287378299,0.32719986449500005,0.0,0.0,0.00807900899988,0.234291260997,0.07271108099889999,0.0,0.0,0.00807900899988,0.234291260997,0.234291260997,0.00807900899988,0.00403950449994,0.0,3.0740629244499997,0.128571,12.7799997,1.68,1.37,9.73,44.0293388,2.72,1.09,3.27,46.93,8.73,0.0,0.0,177.54730666666669,443555.6066,726163.6563,15925.29,10824.330000000002,0.000113,0.4799999999999999,0.01,0.45,0.000128736841886,0.1,0.00010686367464,0.08,11.0
06037102104,410.20000000000005,410.20000000000005,329.4929962,0.0,21.0,394.0,907.0,1326.0,48.0,5.0,177.0,3.0,723.0,586.0,48.0,5.0,5.0,174.0,3.0,3.0,132.0,956.0,317.0,449.0,190.0,1279.0,617.0,528.0,493.0,3648.0,1638.0,5566994.0,12828836.999999998,5175603.0,0.4469273360770604,0.4469273360770604,0.5409210961357559,0.5409210961357559,0.5527204804696161,0.5098042041068711,0.5662434074658763,0.6446004950919082,0.41529105125977417,0.7370855821125675,1.713389121338912,0.4899807759810057,0.8475815350877194,0.017208883861236802,0.2974986726998492,0.6852750301659125,0.3223404945054945,0.4612133891213389,4.024363638050829,11.071552525225163,2.901426167869117,0.009104893357870313,0.5371887171368239,0.015174824519311233,0.40061539573738303,0.1456783411057823,0.009104893357870313,0.5280838237792497,0.015174824519311233,0.40061539573738303,0.40061539573738303,1.7784891692337808,0.01517482677551541,0.009104893357870313,6.925789805919946,0.7474590523846756,19.13599196335446,3.394962457337884,1.9235527274735547,13.817476840565577,93.38474502810823,3.1166050706972204,5.849937591418819,4.6763666504144314,122.47501852754752,3.115632374451487,0.0,0.0,84.25163194019179,453804.08936012187,730996.0773570111,17110.082264261335,10265.947593856654,0.00011589585568015602,0.49447927840078004,0.01,0.45,0.0001383145010988957,0.1034378352023403,0.00010135106609338429,0.07239639200390054,13.164835251097026
06037102105,121.6335220337,121.635206604,121.63349919999999,0.0,41.0,211.0,307.0,560.0,4.0,153.0,17.0,0.0,30.0,0.0,4.0,0.0,153.0,16.0,1.0,0.0,30.0,204.0,133.0,28.0,43.0,527.0,323.0,256.0,296.0,1731.0,875.0,5566994.0,12828836.999999998,5175603.0,0.5639726560311227,0.48577960469398707,0.4973632593733343,0.3849472417678984,0.5034417920393102,0.3905259199010882,0.35180731071850085,0.05113585509413906,0.21085271317829468,0.3781278962001853,4.28921568627451,0.03728307956293668,0.7729604679376082,0.07321275000000001,0.377352875,0.549424375,0.29256784,0.13426470588235295,4.603993976734203,14.23127418571284,1.6771691683234247,0.0,0.13976410151169733,1.257876863789333,0.24664253100895123,0.032885672013511655,0.0,0.13154268410110842,1.257876863789333,0.24664253100895123,0.24664253100895123,0.0,0.0,0.008221417410426953,6.281163145064865,0.38709630170777987,27.71300031908579,8.747836790458953,4.802782415371608,14.162381036650695,78.9422180900252,13.146190251968987,52.61646090596363,10.521949883296564,26.30383228958448,15.780430758972203,0.0,0.0,533.1855995098583,505820.23980535794,810047.7676318414,22146.062383941775,11112.38333193342,0.00012938081419435412,0.5446027139811805,0.010000000000000002,0.5046027139811804,0.00017902433936946825,0.13460271398118043,0.00010970754255479276,0.08000000000000002,12.179727501700011
06037102107,3193.15,3193.16,2394.4559326000003,0.0,101.0,338.0,884.0,1326.0,11.0,130.0,142.0,18.0,551.0,88.0,11.0,318.0,130.0,138.0,4.0,18.0,145.0,852.0,259.0,171.0,422.0,1269.0,655.0,485.0,493.0,3851.0,1633.0,5566994.0,12828836.999999998,5175603.0,0.624446991680322,0.624446991680322,0.7926300577463549,0.7926300577463549,0.6013101459705037,0.5090182466437941,0.5427367179070235,0.7780489239667663,0.3623219221773336,0.6857142857142857,1.9166666666666667,0.3998496543448473,0.8145870579070371,0.07672491704374057,0.25552806184012067,0.6677299095022624,0.2969951500306185,0.19625586854460095,0.5537779355715646,1.608294923201657,0.35582153721958026,0.00751734432059005,0.059303567809756944,0.05429197124047038,0.060556469515347586,0.004593938743428988,0.00751734432059005,0.057633046361392895,0.05429197124047038,0.060556469515347586,0.060556469515347586,0.036751567072050566,0.13280667851809533,0.0016705214483819907,0.9095994727917485,0.6713947470449172,3.9933256780562205,0.5826187283504249,1.0374940293314052,2.3732129643292654,6.468916629428621,0.24958113461628798,2.79943064298883,1.1972185623639249,4.206699586392323,0.5986092811819622,0.0,0.0,29.128949819572664,369482.28818485263,625480.4967263556,10363.973722832556,10642.11886219294,9.456543361435067e-05,0.3978271680717534,0.00952255517418482,0.3842617344574027,8.378028159421133e-05,0.06286913277129866,0.00010506479341323092,0.0757382655425973,12.202998449806616
