FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
06037101110,13.9,8.8,24263.0,21.5,13.4,21.9,12.5,7.9,44.9,10.8,15.3,1.4,6.2,6.1,2.1,0.5332,0.6705,0.5768,0.8062,0.4315,0.4485,0.4993,0.4798,0.6551,0.8782,0.743,0.5642,0.8382,0.5386,0.7909999999999999,14.5
06037101122,4.1,7.1,42194.0,7.1,15.8,14.8,11.1,6.0,23.8,5.1,0.0,0.0,6.8,0.0,0.2,0.109,0.5312,0.1456,0.3211,0.5835,0.1043,0.3966,0.3257,0.4413,0.7609,0.0,0.0,0.856,0.0,0.5025,9.1
06037101210,26.9,11.1,20518.0,23.0,9.0,21.9,16.2,14.0,60.0,17.2,61.5,0.0,13.8,11.0,1.2,0.8264,0.7993,0.7274,0.8321,0.1833,0.4545,0.7304,0.7991,0.7523,0.9357,0.9634,0.0,0.9505,0.7404,0.7190000000000001,17.1
06037101220,15.0,7.4,20306.0,19.3,13.1,22.2,15.4,10.9,46.2,21.9,24.6,0.0,10.5,12.6,0.0,0.5696,0.5591,0.7361,0.7651,0.4131,0.4744,0.6867,0.67,0.665,0.9605,0.8403,0.0,0.9204,0.7789,0.0,23.3
06037101300,7.9,8.9,31467.0,14.4,20.2,10.6,14.6,2.5,18.0,3.6,3.0,0.5,0.0,4.9,1.2,0.2872,0.6772,0.3328,0.6373,0.8159,0.0468,0.6407,0.0844,0.359,0.6993,0.4419,0.4503,0.0,0.4569,0.7095,11.6
06037101400,8.6,10.5,31946.0,12.7,15.8,19.0,13.5,7.5,41.6,7.6,8.6,0.0,7.9,6.2,0.5,0.32,0.7708,0.3204,0.5773,0.5835,0.2563,0.5694,0.4479,0.6297,0.8273,0.6221,0.0,0.8794,0.5447,0.6119,10.8
06037102103,6.7,14.1,31343.0,8.4,16.5,12.0,9.3,2.3,22.7,7.7,17.7,0.0,1.5,1.9,0.0,0.2323,0.8914,0.336,0.3887,0.6276,0.0603,0.2622,0.075,0.4282,0.8294,0.7745,0.0,0.4366,0.1728,0.0,15.5
06037102104,10.4,12.8,31005.0,10.0,19.0,12.2,9.1,2.4,25.6,9.6,13.7,0.9,3.9,4.3,6.5,0.3991,0.8595,0.3452,0.4656,0.7648,0.0625,0.2479,0.0799,0.4654,0.8619,0.7205,0.5202,0.7277,0.4074,0.9241,12.4
06037102105,16.3,11.3,22344.0,25.3,7.1,16.7,7.3,13.7,78.4,11.7,19.3,0.0,7.5,1.6,0.0,0.61,0.8074,0.6541,0.8651,0.1008,0.1557,0.1315,0.7889,0.8469,0.8887,0.7926,0.0,0.8711,0.1413,0.0,21.2
06037102107,14.2,7.5,30406.0,11.1,22.5,19.7,14.3,10.7,42.6,7.7,5.8,0.0,2.5,4.2,5.8,0.5435,0.5678,0.3611,0.5142,0.8852,0.2966,0.6227,0.6599,0.6376,0.8292,0.5469,0.0,0.5902,0.39899999999999997,0.9156,9.8
