tract2010,AGENCY,APPLIANCE,ATF,Abandoned Vehicle,Adopt-A-Basket,Advocate - Levy,Advocate - Lien,Advocate-Business Tax,Advocate-Commercial Exemptions,Advocate-Foreclosure,Advocate-Personal Exemptions,Air Quality,Animal Abuse,Animal Facility - No Permit,Animal in a Park,Animal-Abuse,Appliance,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Borough Office,Bottled Water,Bridge Condition,Broken Muni Meter,Broken Parking Meter,Building Condition,Building Marshals office,Building/Use,Bus Stop Shelter Complaint,Bus Stop Shelter Placement,Calorie Labeling,City Vehicle Placard Complaint,Collection Truck Noise,Construction,Construction Lead Dust,Construction Safety Enforcement,Consumer Complaint,Cooling Tower,Cranes and Derricks,Curb Condition,DEP Sidewalk Condition,DEP Street Condition,DOF Property - Payment Issue,DOF Property - Reduction Issue,DOOR/WINDOW,DPR Internal,DRIE,DSNY Spillage,Damaged Tree,Day Care,Dead/Dying Tree,Dept of Investigations,Derelict Bicycle,Derelict Vehicle,Derelict Vehicles,Dirty Conditions,Disorderly Youth,Dispatched Taxi Complaint,Dispatched Taxi Compliment,Drinking,Drinking Water,Drug Activity,ELECTRIC,ELEVATOR,Electric,Electrical,Electronics Waste,Electronics Waste Appointment,Elevator,Emergency Response Team (ERT),Employee Behavior,Executive Inspections,FATF,FCST,FHV Licensee Complaint,FLOORING/STAIRS,Facades,Ferry Complaint,Ferry Inquiry,Ferry Permit,Fire Alarm - Modification,Fire Alarm - New System,Fire Alarm - Reinspection,Fire Alarm - Replacement,Foam Ban Enforcement,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Forensic Engineering,Found Property,GENERAL,Gas Station Discharge Lines,General,General Construction/Plumbing,Graffiti,Green Taxi Complaint,Green Taxi Report,HEAT/HOT WATER,Harboring Bees/Wasps,Hazardous Materials,Hazmat Storage/Use,Highway Condition,Highway Sign - Damaged,Highway Sign - Dangling,Highway Sign - Missing,Homebound Evacuation 4,Homeless Encampment,Homeless Person Assistance,Illegal Animal - Sold/Kept,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Fireworks,Illegal Parking,Illegal Tree Damage,Indoor Air Quality,Indoor Sewage,Industrial Waste,Injured Wildlife,Interior Demo,Internal Code,Investigations and Discipline (IAD),Lead,Legal Services Provider Complaint,Lifeguard,LinkNYC,Litter Basket / Request,Lost Property,MSOTHER,Maintenance or Facility,Miscellaneous Categories,Missed Collection,Missed Collection (All Materials),Mobile Food Vendor,Mold,Mosquitoes,Municipal Parking Facility,New Tree Request,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle,Non-Emergency Police Matter,Non-Residential Heat,OUTSIDE BUILDING,Open Flame Permit,Other Enforcement,Outside Building,Overflowing Litter Baskets,Overflowing Recycling Baskets,Overgrown Tree/Branches,PAINT/PLASTER,PLUMBING,Panhandling,Peeling Paint,Pet Shop,Plant,Plumbing,Poison Ivy,Posting Advertisement,Public Assembly,Public Assembly - Temporary,Public Payphone Complaint,Public Toilet,Quality of Life,Radioactive Material,Rangehood,Recycling Enforcement,Request Changes - A.S.P.,Request Large Bulky Item Collection,Request Xmas Tree Collection,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,SRDE,Safety,Sanitation Condition,Scaffold Safety,School Maintenance,Senior Center Complaint,Sewer,Sidewalk Condition,Single Occupancy Bathroom,Smoking,Snow,Snow Removal,Special Enforcement,Special Natural Area District (SNAD),Special Operations,Special Projects Inspection Team (SPIT),Sprinkler - Mechanical,Squeegee,Stalled Sites,Standing Water,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Sustainability Enforcement,Sweeping/Inadequate,Sweeping/Missed,Tanning,Tattooing,Taxi Complaint,Taxi Compliment,Taxi Licensee Complaint,Taxi Report,Taxpayer Advocate Inquiry,Traffic,Traffic Signal Condition,Trans Fat,Transportation Provider Complaint,UNSANITARY CONDITION,Unleashed Dog,Unlicensed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Condition,Unsanitary Pigeon Condition,Urinating in Public,VACANT APARTMENT,Vacant Lot,Vending,Violation of Park Rules,WATER LEAK,Water Conservation,Water Leak,Water Quality,Water System,Window Guard,X-Ray Machine/Equipment,ZSYSTEST,ZTESTINT
36005000100,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36005000200,0,14,0,87,0,0,0,0,0,0,0,1,36,0,2,5,0,1,2,1,0,0,425,9,7,0,0,0,0,0,1,87,4,0,0,0,0,0,0,12,6,0,0,16,0,0,4,0,51,0,0,0,42,2,11,0,0,283,379,125,1,0,0,1,2,1,48,0,0,5,0,0,5,4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,23,0,0,79,31,0,0,195,0,2,0,0,0,0,0,0,1,5,0,3,0,1,678,8,2,3,7,0,0,0,0,5,0,0,0,1,0,0,15,0,0,70,0,1,2,0,12,25,53,0,0,11,733,352,215,29,0,3,0,12,0,0,0,24,53,62,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,204,2,126,33,20,0,0,146,0,0,0,85,55,0,0,21,0,0,0,0,4,0,0,0,5,139,257,5,2,2,2,0,0,0,0,7,0,0,0,0,5,16,0,0,129,0,0,0,9,2,0,1,0,14,2,1,31,24,0,8,240,0,0,0,0
36005000400,0,19,0,32,0,0,0,0,0,0,0,4,21,0,3,4,0,1,0,0,0,0,476,0,6,0,0,0,1,0,2,55,0,1,0,0,0,0,0,19,13,0,0,12,0,0,17,0,35,0,3,0,65,0,11,0,0,155,153,77,0,0,0,3,0,2,44,0,0,1,0,0,0,5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,13,0,0,54,20,0,0,136,0,4,0,0,0,0,0,0,0,2,0,0,0,0,251,23,1,5,2,0,0,0,0,8,0,0,0,8,0,0,16,0,0,30,0,1,3,0,9,36,24,0,0,17,244,84,115,25,0,1,0,6,0,2,0,23,38,62,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,138,0,33,8,13,0,0,77,0,7,0,120,45,0,2,4,0,0,0,0,0,0,0,0,10,173,263,12,1,6,3,0,0,0,0,2,0,0,1,0,2,41,0,0,95,0,0,0,2,3,2,0,0,2,0,0,36,12,0,0,205,0,0,0,0
36005001600,0,11,0,55,0,0,0,0,0,0,0,2,16,0,1,5,0,3,1,0,0,0,322,5,2,0,0,0,0,0,0,38,4,0,0,0,0,0,0,7,8,0,0,11,0,0,2,0,21,0,3,0,20,2,16,0,0,102,107,32,3,0,0,0,0,3,15,2,0,4,0,0,114,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,14,0,0,29,8,0,0,343,0,1,0,0,0,0,0,0,1,5,0,2,0,1,175,3,8,3,1,0,0,0,1,7,0,0,0,1,0,0,13,0,0,20,0,0,1,0,3,24,4,0,0,3,257,48,47,5,0,0,0,1,0,0,0,16,34,60,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,91,0,25,8,2,0,0,80,0,13,0,43,22,0,0,8,0,0,0,0,0,0,0,0,8,145,292,2,6,6,2,0,0,0,0,0,0,0,0,0,3,38,0,0,67,0,0,0,6,1,2,1,0,3,3,2,23,6,0,1,72,0,0,0,0
36005001900,0,43,0,28,2,0,0,0,0,0,0,15,23,0,0,0,0,7,3,0,0,1,232,3,8,0,0,2,10,0,3,25,0,0,0,0,0,0,2,31,53,0,1,9,0,0,3,0,77,4,0,0,18,0,7,0,1,71,118,95,1,0,0,5,0,4,59,3,0,21,0,0,164,2,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,19,2,20,3,0,0,53,0,5,87,102,0,0,477,0,27,0,77,0,0,0,0,24,30,0,0,0,1,627,5,6,3,12,0,0,0,2,10,0,0,0,16,0,0,11,0,0,100,1,1,0,0,20,97,160,0,0,6,282,205,293,34,4,0,0,22,0,1,0,11,158,146,0,0,0,1,31,1,0,0,0,0,0,0,0,0,1,0,92,0,147,1,35,0,1,143,1,0,1,130,52,0,8,9,0,0,0,0,11,0,1,0,3,638,124,26,9,37,10,0,2,0,0,19,0,0,1,0,109,59,0,0,183,0,0,0,9,2,1,2,0,6,6,3,100,11,0,4,301,0,0,0,0
36005002000,0,37,0,22,0,0,0,0,0,0,0,1,13,0,3,5,0,0,0,0,0,0,461,9,1,0,0,0,0,0,2,27,4,0,0,0,0,0,0,3,18,0,0,10,0,0,6,0,77,0,3,0,49,2,6,0,0,75,149,75,2,0,0,3,0,6,59,1,0,10,0,0,44,1,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,5,3,13,2,0,0,85,0,1,16,28,0,0,507,0,3,0,0,0,0,0,0,3,1,0,1,0,0,147,6,3,1,2,0,0,0,0,6,0,0,0,4,0,0,3,0,0,25,1,0,1,0,6,24,4,0,1,14,853,216,70,7,3,0,0,4,0,0,0,24,99,97,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,111,2,66,16,12,0,0,65,0,0,0,59,68,0,1,7,0,0,0,0,2,0,0,0,1,151,196,6,4,5,1,1,0,0,0,6,0,0,0,0,5,48,0,0,169,4,0,0,1,8,0,0,0,2,1,2,50,10,0,4,114,0,0,0,0
36005002300,0,0,0,1,0,0,0,0,0,0,0,2,6,0,1,0,0,1,0,0,0,0,17,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,15,2,0,2,1,0,0,0,0,0,0,0,0,4,2,2,0,1,4,6,5,0,0,0,0,0,1,0,0,0,3,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,11,4,0,0,12,0,0,0,0,0,0,0,0,1,6,0,0,0,0,23,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,10,0,0,1,6,346,27,6,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,4,0,4,1,3,13,0,0,0,0,0,0,0,3,0,0,0,1,27,0,1,0,5,3,0,2,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1,17,0,0,0,0
36005002400,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,30,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,0,72,0,2,0,7,0,0,0,0,0,0,0,0,0,0,16,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,3,0,0,0,28,119,14,6,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,25,53,1,4,4,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,10,0,0,0,0
36005002500,0,85,0,0,0,0,0,0,0,0,0,4,18,0,0,2,0,2,1,0,0,0,26,7,1,0,0,0,8,0,8,17,0,0,0,0,0,0,0,4,28,0,0,1,0,0,4,0,168,0,0,0,10,39,2,0,0,4,4,41,0,0,0,4,0,8,111,5,0,20,0,0,52,3,0,1,0,0,0,92,0,0,0,0,0,0,0,0,0,21,7,7,0,0,0,135,0,0,38,73,0,0,580,1,2,0,0,0,0,0,0,9,15,0,1,0,0,58,4,4,0,0,0,0,0,0,15,0,0,1,3,1,0,6,7,1,19,2,0,0,0,8,9,43,1,1,5,491,188,27,12,0,6,0,7,0,1,0,2,276,175,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,35,0,94,0,35,0,2,30,0,8,0,46,35,0,1,4,0,0,0,0,2,0,0,0,0,69,5,1,0,5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,346,0,0,0,0,1,0,0,0,0,19,0,132,1,0,4,87,0,0,0,0
36005002701,0,12,0,1,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,86,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,5,18,0,0,1,0,0,0,0,28,0,0,0,5,4,0,0,0,4,16,10,1,0,0,5,0,2,10,1,0,0,0,0,26,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,36,0,0,8,13,0,0,144,0,3,0,0,0,0,0,0,0,3,0,0,0,0,43,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,210,0,0,2,394,84,18,2,2,0,0,1,0,0,0,3,48,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,37,0,12,0,0,4,0,0,0,9,5,0,2,2,0,0,0,0,2,0,0,0,1,14,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,66,0,0,0,9,1,0,3,0,2,0,1,42,0,0,0,64,0,0,0,0
