TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
36005000100,11091,31.8,12.5,23.1,30.0,56.4,2.0,11.2,4.1,72.4,69.8,48.0,5.8,18.7,22.8,29.3,41.5,9.0,24.4,2.5,40.1,81.2,18.2,35.3,84.5,14.8,46.6,2.7,29.2
36005000200,4334,22.2,19.5,16.7,32.0,73.9,4.7,10.0,5.5,77.9,83.8,65.8,5.2,26.8,29.0,15.5,64.4,12.6,32.2,3.3,35.2,82.3,13.1,30.8,86.2,13.6,38.2,3.0,14.2
36005000400,5503,17.6,17.3,18.0,29.2,72.2,4.3,9.5,4.4,78.0,85.5,67.7,4.0,28.8,29.8,12.8,67.7,10.7,29.9,2.8,30.1,83.6,11.6,29.6,87.4,11.3,38.1,2.4,12.1
36005001600,5643,24.5,24.2,13.6,38.4,77.6,5.4,11.3,7.9,79.3,82.6,59.1,7.6,23.0,22.6,18.5,51.2,16.4,35.6,4.5,41.6,81.9,15.7,35.6,86.2,17.7,41.0,4.5,24.0
36005001900,1917,22.3,15.6,19.2,28.6,67.0,3.4,10.0,4.7,74.4,79.5,60.8,4.9,24.6,27.3,18.4,56.7,10.4,28.2,2.9,34.5,82.4,14.6,32.7,86.5,13.1,40.4,2.6,18.0
36005002000,8731,29.1,24.2,13.1,39.1,76.2,4.6,12.6,8.1,78.0,78.8,54.3,9.1,18.9,19.8,23.0,43.8,17.6,35.4,4.9,46.4,82.3,19.1,38.8,85.4,20.7,43.1,5.2,32.1
36005002300,4933,31.7,25.8,12.0,41.0,77.5,5.0,12.6,9.4,78.2,78.2,51.4,9.9,17.8,18.3,23.7,39.1,19.7,37.3,5.5,49.9,80.8,20.1,40.2,84.8,22.5,43.0,5.7,34.6
36005002500,5491,31.5,19.9,15.6,33.1,71.6,4.0,11.2,6.7,75.1,77.5,54.0,7.0,19.7,20.6,20.8,45.6,14.8,32.9,4.0,43.2,80.9,17.6,35.5,85.0,18.1,41.2,3.7,27.0
36005002701,3113,30.8,22.7,13.4,37.3,73.8,4.3,12.4,7.5,76.7,77.2,52.0,8.7,18.9,19.6,23.6,42.9,16.9,34.2,4.8,47.3,81.6,19.9,39.7,85.9,20.8,43.0,4.8,30.7
36005002702,4475,33.1,19.7,14.7,33.1,70.2,3.7,11.8,6.6,74.7,75.5,50.8,7.5,18.9,19.3,22.9,41.9,14.9,32.3,4.2,46.0,81.0,19.6,37.5,85.1,19.4,42.4,3.9,30.5
