FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
36005000100,,,2332.0,59.0,0.4,3.6,,0.0,93.2,6.3,0.0,,0.0,,100.0,,,0.9993,0.9967,0.0056,0.0137,,0.0,0.9296,0.7986,0.0,,0.0,,0.9976,
36005000200,15.8,6.8,22544.0,22.9,14.1,20.5,15.9,15.9,98.2,14.0,3.4,0.0,17.0,11.4,0.1,0.5951,0.5017,0.6459,0.8305,0.47600000000000003,0.35,0.7145,0.8531,0.9752,0.9115,0.4572,0.0,0.9675,0.7505,0.4025,8.5
36005000400,11.8,9.0,28780.0,15.4,10.5,21.6,11.6,16.5,95.9,7.8,1.0,0.3,3.0,27.6,0.2,0.4562,0.6839,0.4112,0.6677,0.2601,0.4264,0.4344,0.8667,0.9515,0.8317,0.3156,0.4228,0.6492,0.9257,0.4885,5.8
36005001600,28.8,8.4,14229.0,29.6,15.5,27.1,13.6,25.6,97.7,16.2,67.6,0.0,11.2,51.0,4.3,0.8499,0.6411,0.9164,0.9102,0.5647,0.7878,0.5760000000000001,0.9738,0.9686,0.9287,0.9706,0.0,0.9277,0.9774,0.8871,9.4
36005001900,35.3,16.4,20660.0,24.8,3.2,23.8,15.0,16.5,92.7,13.2,69.1,0.0,8.4,65.2,18.6,0.9128,0.9309999999999999,0.7224,0.8586,0.0183,0.593,0.6638,0.867,0.9266,0.9042,0.9725,0.0,0.8909,0.9896,0.9681,19.0
36005002000,52.4,17.1,11316.0,37.3,11.0,27.6,20.4,29.9,98.6,10.8,58.3,0.0,6.0,69.0,0.0,0.9846,0.9397,0.9697,0.9554,0.2875,0.8102,0.889,0.9890000000000001,0.9799,0.8774,0.9585,0.0,0.8281,0.9922,0.0,12.5
36005002300,48.4,17.4,10937.0,44.7,13.7,29.8,25.6,29.8,99.8,16.4,97.0,0.0,9.1,84.1,0.1,0.976,0.943,0.9741,0.9788,0.4509,0.8844,0.9698,0.9889,0.9951,0.93,0.9975,0.0,0.9028,0.9986,0.4088,8.2
36005002500,49.2,10.3,12131.0,44.7,8.3,31.7,17.4,34.7,98.4,27.1,72.6,0.0,16.6,65.3,0.0,0.9781,0.7606,0.9574,0.9788,0.1506,0.9285,0.7875,0.9954,0.9771,0.9787,0.9761,0.0,0.9659,0.9896,0.0,18.2
36005002701,59.8,14.5,9503.0,37.8,6.6,38.3,13.5,35.3,100.0,20.3,88.2,0.0,9.9,81.1,0.0,0.9928,0.9001,0.9868,0.9575,0.0826,0.9902,0.5694,0.9958,0.9968,0.953,0.9893,0.0,0.9138,0.9974,0.0,13.4
36005002702,50.4,6.2,9800.0,47.3,8.0,31.7,18.6,31.8,99.0,20.0,83.9,0.0,6.6,88.2,5.8,0.9807,0.4379,0.985,0.9837,0.1371,0.9305,0.8344,0.9923,0.9859,0.9514,0.9858,0.0,0.8495,0.9995,0.9149,20.4
36005002800,5.8,11.9,26490.0,17.3,17.0,17.3,21.7,19.0,99.3,7.2,88.7,0.0,7.5,34.5,0.2,0.1896,0.8306,0.4915,0.7183,0.6572,0.1787,0.9186,0.9125,0.9890000000000001,0.8184,0.9898,0.0,0.8714,0.9490000000000001,0.4565,5.5
36005003100,17.3,6.9,17785.0,35.6,7.5,29.5,7.7,14.1,99.2,24.9,89.1,0.0,25.0,57.4,0.0,0.638,0.5115,0.8233,0.9477,0.1162,0.8754,0.1548,0.8027,0.988,0.9723,0.99,0.0,0.988,0.9840000000000001,0.0,17.1
36005003300,56.6,18.6,10112.0,46.7,6.6,35.7,14.9,29.5,98.8,15.9,70.6,0.0,13.2,80.5,0.0,0.9901,0.9544,0.9827,0.9826,0.0826,0.978,0.6582,0.9882,0.9832,0.9271,0.9738,0.0,0.9456,0.9972,0.0,7.9
36005003500,38.6,9.2,13765.0,43.4,9.1,32.4,11.7,22.8,99.6,18.4,83.3,0.0,15.5,63.4,0.7,0.9356,0.6976,0.9269,0.9758,0.188,0.9416,0.4417,0.9551,0.9931,0.9428,0.9852,0.0,0.9606,0.9885,0.6518,15.1
36005003700,39.1,10.9,14923.0,30.2,1.4,10.0,35.5,2.8,79.9,7.5,80.7,0.0,5.5,72.4,0.0,0.9385,0.7905,0.9005,0.9148,0.0091,0.0428,0.9972,0.0955,0.8545,0.8256,0.9829,0.0,0.8121,0.9939,0.0,2.9
36005003800,33.9,19.1,20480.0,23.2,10.1,23.8,12.7,9.6,98.9,6.6,30.0,0.0,5.7,53.6,0.0,0.902,0.9584,0.7290000000000001,0.8353,0.2388,0.5939,0.5136,0.5976,0.9838,0.8049,0.8744,0.0,0.8199,0.9805,0.0,7.9
36005003900,27.7,8.3,15643.0,47.3,7.2,27.3,13.4,20.5,95.4,34.7,56.0,0.0,21.2,76.9,0.7,0.8366,0.6337,0.8824,0.9837,0.1046,0.7984,0.5628,0.9319,0.9470000000000001,0.9928,0.955,0.0,0.9809,0.9959,0.6523,32.4
36005004001,18.7,8.2,21945.0,29.4,16.9,20.6,14.8,9.5,88.5,13.3,24.3,0.0,6.1,28.9,0.0,0.6736,0.626,0.6709999999999999,0.9084,0.6515,0.3536,0.6525,0.5883,0.9005,0.9045,0.838,0.0,0.8342,0.9309999999999999,0.0,10.9
36005004100,52.0,18.5,10939.0,47.6,9.5,32.0,16.9,36.3,99.4,16.3,80.6,0.0,15.9,81.0,0.8,0.9839,0.9537,0.9741,0.9841,0.2079,0.9339,0.7647,0.9965,0.9906,0.9297,0.9828,0.0,0.9625,0.9974,0.6634,10.4
36005004200,47.3,22.1,12888.0,24.3,12.2,24.9,20.4,23.4,95.4,4.7,87.2,0.0,4.2,57.0,0.0,0.9732,0.9751,0.9446,0.8516,0.3585,0.6639,0.889,0.9603,0.9467,0.7484,0.9885,0.0,0.7475,0.9837,0.0,5.9
36005004300,49.4,16.2,12114.0,41.8,8.1,29.9,14.6,21.1,99.6,25.1,72.8,0.0,13.6,76.0,0.5,0.9785,0.9283,0.9577,0.9711,0.1415,0.887,0.6407,0.9389,0.993,0.973,0.9763,0.0,0.9493,0.9954,0.5946,14.5
36005004400,38.3,27.2,11418.0,41.2,16.1,26.5,15.9,24.8,98.3,13.0,82.9,0.0,5.9,65.9,4.3,0.934,0.9897,0.9682,0.9692,0.6032,0.7565,0.7145,0.9693,0.9765,0.9019,0.9848,0.0,0.8249,0.99,0.8861,14.2
36005004600,26.4,11.2,18472.0,30.7,10.7,32.1,14.3,22.9,97.4,10.2,49.3,0.0,11.3,54.7,0.0,0.8196,0.8037,0.8009,0.9189,0.2707,0.9372,0.6227,0.9562,0.9658,0.8699,0.9429,0.0,0.9291,0.9816,0.0,6.6
36005004800,30.0,18.1,13707.0,42.5,6.1,26.8,8.7,25.9,99.4,26.3,81.5,0.0,20.0,64.2,0.4,0.8646,0.95,0.9283,0.9732,0.0678,0.7714,0.2194,0.9756,0.9899,0.9768,0.9835,0.0,0.9783,0.9888,0.5615,18.5
36005005001,38.9,13.0,14919.0,42.7,8.9,30.7,14.0,28.0,99.1,20.7,57.3,0.4,11.6,63.0,7.0,0.9375,0.8643,0.9006,0.9739,0.1788,0.9082,0.6027,0.9840000000000001,0.9866,0.955,0.9572,0.4317,0.932,0.9882,0.9288,12.5
36005005002,43.9,12.7,13382.0,44.9,6.0,29.2,10.2,24.4,99.4,31.6,65.9,0.0,17.5,73.7,1.4,0.9616,0.8566,0.935,0.9792,0.0648,0.8672,0.3294,0.9669,0.9902,0.9888,0.9690000000000001,0.0,0.9698,0.9944,0.7317,28.0
36005005100,46.2,14.1,10704.0,36.4,8.8,32.9,15.7,29.9,99.8,17.3,96.0,0.0,6.6,83.3,0.7,0.9696,0.8914,0.9771,0.9513,0.174,0.9489,0.7040000000000001,0.9890000000000001,0.9957,0.9362,0.9966,0.0,0.8476,0.9984,0.6397,7.4
36005005200,48.0,6.5,18429.0,32.0,10.5,28.5,14.2,27.4,99.4,21.2,75.6,1.7,15.4,70.6,0.0,0.975,0.4707,0.8021,0.9282,0.2601,0.8448,0.6161,0.9819,0.9904,0.9572,0.9787,0.5867,0.9598,0.993,0.0,11.7
36005005300,59.6,21.5,9606.0,37.2,5.7,33.6,20.5,35.8,98.2,10.5,94.8,0.0,8.8,88.4,0.0,0.9927,0.9727,0.9863,0.9549,0.0568,0.958,0.8916,0.9962,0.975,0.8742,0.9955,0.0,0.8969,0.9995,0.0,8.4
36005005400,38.4,9.8,14241.0,48.9,6.2,27.0,13.6,21.5,98.3,29.3,44.7,0.0,16.0,69.9,0.2,0.9345,0.7345,0.9161,0.9864,0.071,0.7832,0.5760000000000001,0.9427,0.9766,0.9841,0.9317,0.0,0.963,0.9926,0.4501,22.5
36005005600,38.9,17.7,13380.0,41.5,21.5,27.0,19.5,18.0,98.5,19.5,49.0,0.6,14.3,58.9,0.0,0.9375,0.9464,0.9351,0.9702,0.8591,0.7809,0.8639,0.8953,0.9782,0.9491,0.9424,0.4729,0.9537,0.9853,0.0,9.0
36005005902,41.2,11.8,20930.0,25.5,10.6,20.2,14.1,19.7,96.9,25.7,94.1,0.0,14.5,65.4,0.0,0.9496,0.8272,0.7117,0.8677,0.2649,0.3334,0.6097,0.9222,0.9611,0.9748,0.9949,0.0,0.9548,0.9897,0.0,13.3
36005006000,32.9,11.9,14283.0,34.9,10.2,23.6,9.5,25.3,98.7,15.9,72.1,0.0,20.9,42.9,0.0,0.8935,0.8306,0.9152,0.9447,0.2441,0.5799,0.2773,0.9722,0.9807,0.9269,0.9754,0.0,0.9802,0.9664,0.0,9.6
36005006100,11.4,15.4,28242.0,13.9,31.0,10.0,16.5,4.1,97.7,4.1,98.1,0.0,2.2,67.6,0.0,0.4404,0.9162,0.4292,0.62,0.9708,0.0426,0.7459,0.1832,0.9685,0.7215,0.9990000000000001,0.0,0.5458,0.9912,0.0,9.0
