TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
06075010100,3739,8.8,17.2,19.8,25.6,71.0,6.0,8.0,4.6,67.8,80.7,67.4,4.0,32.7,29.0,11.5,67.9,8.5,30.0,2.6,16.6,79.2,10.1,16.7,82.7,9.3,30.2,2.5,9.0
06075010200,4143,4.9,16.0,25.2,21.3,66.9,6.4,7.9,3.5,65.6,82.9,77.4,3.0,40.9,36.9,8.3,80.4,5.3,26.9,2.0,11.0,82.2,8.6,16.9,87.8,6.8,25.7,1.7,4.4
06075010300,3852,7.0,16.4,22.4,23.6,69.6,6.1,7.7,4.0,66.9,81.6,69.6,3.5,35.0,31.6,10.2,73.6,7.3,29.1,2.3,14.1,80.0,9.3,15.8,83.2,8.2,28.3,2.1,6.8
06075010400,4545,5.8,15.9,22.9,22.8,68.4,6.0,7.4,3.7,66.8,83.3,73.0,3.1,38.2,35.1,9.0,77.8,6.6,28.8,2.1,12.6,81.0,8.5,16.1,84.8,7.4,27.6,1.8,5.0
06075010500,2685,5.9,21.1,17.8,29.3,75.0,8.1,7.2,5.5,70.6,85.7,74.2,4.2,39.2,35.2,8.4,77.5,8.8,33.9,2.9,14.4,81.5,8.2,17.3,84.5,8.9,26.6,2.7,5.5
06075010600,3894,12.3,18.3,16.9,29.9,73.2,5.3,7.8,6.0,67.4,78.1,57.8,5.3,26.7,24.3,15.4,57.4,12.4,34.4,3.2,22.4,77.1,11.9,17.2,77.0,12.4,33.2,3.3,13.4
06075010700,5592,15.4,23.2,10.5,38.3,80.7,6.4,7.6,8.9,72.4,79.8,50.5,6.7,22.5,19.6,15.9,47.5,18.9,40.7,4.5,29.8,74.2,11.9,14.9,70.3,15.9,35.6,5.1,19.1
06075010800,4578,7.8,15.9,19.7,24.2,71.3,5.7,7.5,4.1,67.5,80.8,65.7,3.4,32.8,29.0,10.5,69.4,8.3,29.7,2.4,15.6,78.6,9.5,14.6,81.1,8.5,29.7,2.2,8.3
06075010900,4320,5.7,14.0,24.9,20.3,66.5,5.5,7.6,3.1,65.3,81.5,74.0,2.6,37.8,34.0,8.6,78.9,5.7,25.8,2.0,11.8,80.9,8.7,15.5,86.6,6.6,26.5,1.6,4.5
06075011000,4827,7.5,12.7,22.5,20.4,67.3,4.6,7.5,3.1,65.9,79.9,68.6,2.6,34.5,32.3,9.9,75.2,6.9,26.5,2.0,13.7,79.0,9.1,13.4,81.7,7.1,28.9,1.7,5.5
06075011100,5164,7.9,14.1,22.4,22.3,67.6,4.9,7.5,3.6,65.7,80.0,68.8,3.1,34.3,32.0,10.3,73.3,7.3,27.7,2.2,14.3,80.1,9.5,15.7,82.5,7.8,29.1,1.9,6.3
06075011200,3286,6.6,17.6,19.5,25.7,72.9,6.7,7.4,4.6,68.8,83.1,70.4,3.5,35.9,31.6,8.9,74.7,8.1,30.8,2.6,14.3,80.7,8.7,15.5,83.7,8.2,27.5,2.3,6.3
06075011300,3143,14.3,22.8,10.5,36.8,80.6,6.8,7.5,8.4,73.0,80.8,54.4,6.2,24.3,22.5,14.3,53.0,17.4,39.8,4.3,27.6,74.2,11.0,13.6,71.2,14.7,34.0,4.7,16.1
06075011700,1783,11.3,17.6,18.0,28.5,71.0,5.2,8.0,5.4,67.3,79.2,61.5,4.9,29.8,28.0,14.3,63.7,11.0,32.5,2.9,20.2,77.7,11.5,18.2,78.1,11.5,32.5,3.0,10.7
06075011800,1500,15.7,21.9,9.4,37.5,80.4,5.7,7.2,8.7,71.9,78.8,48.4,6.4,21.2,19.6,16.2,45.2,19.4,40.6,4.4,30.9,74.7,12.0,14.2,67.9,16.0,37.0,5.0,19.8
06075011901,2408,6.7,15.2,23.3,22.1,67.4,5.5,7.7,3.7,65.7,79.3,71.9,3.3,36.9,32.7,9.5,75.3,6.6,27.2,2.2,13.4,81.6,9.6,16.7,83.8,7.7,27.9,1.9,6.0
06075011902,2598,8.3,12.8,24.0,19.4,60.9,4.3,8.0,3.0,62.9,77.2,66.9,3.1,34.5,30.9,11.5,70.7,5.7,24.4,2.0,14.3,80.8,10.7,17.4,83.8,7.9,29.7,1.6,7.7
06075012000,3833,11.0,15.7,21.6,24.7,66.1,4.7,8.3,4.7,64.1,75.6,62.1,4.6,30.6,26.0,14.7,61.8,8.4,28.5,2.5,18.7,80.5,12.5,20.1,80.6,10.5,32.3,2.5,12.1
06075012100,3833,8.8,10.4,25.2,16.6,56.6,3.3,8.6,2.5,61.7,72.1,66.6,2.8,33.1,30.5,11.6,68.2,4.8,21.0,1.7,14.1,79.4,12.0,16.5,80.8,7.3,30.3,1.4,9.1
06075012201,4567,11.5,13.8,23.8,22.9,63.7,4.2,7.7,3.8,63.7,77.1,61.6,3.6,29.6,26.5,13.2,61.9,7.7,26.9,2.2,17.2,79.0,11.2,19.7,81.0,9.2,32.3,2.0,11.5
06075012202,2986,13.6,17.7,20.1,29.2,67.6,4.5,8.9,5.5,64.8,75.6,57.5,5.8,26.3,24.4,18.2,55.2,11.0,31.0,3.0,22.5,79.8,14.1,24.2,80.1,13.3,34.9,3.2,15.1
06075012301,2734,18.4,24.3,15.7,38.7,75.0,6.1,9.1,10.0,67.5,75.7,49.0,9.2,21.8,18.4,21.2,41.0,17.3,38.3,4.8,29.7,75.2,15.9,26.7,77.5,18.8,36.5,5.6,27.1
06075012302,3073,8.4,12.7,22.4,21.5,64.2,3.9,7.8,3.5,63.9,75.9,66.2,3.2,32.9,30.4,11.1,69.4,7.0,25.6,2.1,15.1,81.5,10.8,18.0,81.6,8.1,30.2,1.9,7.3
06075012401,5075,17.5,17.2,20.6,29.1,67.4,4.5,8.4,5.7,64.2,75.0,55.8,5.7,25.5,23.2,17.7,52.3,11.4,31.2,3.1,23.6,77.3,13.8,24.3,79.4,13.4,34.7,3.2,17.4
06075012402,3974,9.8,15.7,22.1,25.6,68.0,5.1,7.8,4.7,65.3,78.0,64.3,4.0,31.7,27.8,12.0,65.7,8.5,28.8,2.6,16.6,80.1,10.9,20.2,83.1,9.5,30.6,2.5,10.3
06075012501,5335,15.4,23.4,16.8,38.5,73.6,5.6,9.2,8.9,67.5,78.4,50.5,8.5,21.8,19.6,21.3,44.4,16.2,37.3,4.3,27.6,77.9,15.5,29.2,80.5,17.8,37.3,5.0,23.1
06075012502,3821,19.9,27.3,13.3,44.0,78.6,6.7,9.0,11.5,70.9,79.0,49.0,9.9,20.5,18.3,21.0,40.1,21.2,41.9,5.4,32.8,74.7,15.1,26.4,76.7,20.3,37.1,6.6,25.5
06075012601,2329,5.0,12.6,28.3,16.8,59.9,5.1,7.9,2.4,63.0,80.9,77.1,2.3,42.0,39.0,8.4,82.6,3.8,22.3,1.6,10.1,82.0,8.7,15.8,88.5,5.8,25.6,1.3,3.7
06075012602,2909,4.8,14.3,27.1,19.3,63.4,5.8,7.7,3.0,64.1,82.2,77.1,2.6,42.4,38.2,8.5,81.9,4.6,24.8,1.8,10.6,81.8,8.5,16.6,88.6,6.3,25.5,1.5,3.9
06075012700,3492,5.0,14.1,26.7,18.7,62.4,5.6,7.9,2.8,64.2,82.6,76.6,2.6,42.2,38.2,8.6,81.8,4.5,24.5,1.8,10.7,81.6,8.7,16.8,88.5,6.4,25.9,1.4,4.0
06075012800,4106,5.6,15.6,25.5,20.7,65.5,6.1,8.2,3.4,65.0,81.8,75.9,3.2,40.4,36.1,9.4,79.6,5.2,26.2,2.0,11.7,81.9,9.3,17.1,87.4,7.2,26.0,1.7,5.1
06075012901,2557,5.0,11.2,28.9,15.3,57.7,4.5,7.9,2.0,62.2,79.6,76.3,2.1,40.8,38.6,8.1,82.4,3.6,20.9,1.5,9.9,81.7,8.8,15.2,87.9,5.4,25.6,1.1,3.4
06075012902,3376,5.3,12.4,27.8,16.9,61.0,5.1,7.9,2.5,63.0,79.4,76.0,2.3,41.2,34.6,8.4,80.8,4.0,22.0,1.7,10.6,82.4,8.9,15.5,87.5,5.9,25.8,1.3,4.2
06075013000,4044,4.7,13.1,27.6,17.5,62.1,5.3,7.8,2.5,63.7,81.5,77.4,2.3,42.7,37.8,7.7,81.9,4.1,23.4,1.7,9.9,82.7,8.4,15.7,87.9,5.8,25.3,1.3,3.8
06075013101,3811,5.1,13.1,26.4,17.8,61.4,5.1,7.8,2.5,63.8,81.4,77.1,2.4,41.4,38.2,8.4,81.5,4.4,23.5,1.7,10.6,82.7,8.7,16.3,87.8,6.1,26.3,1.3,3.7
06075013102,2625,4.5,15.6,24.6,20.5,66.8,6.4,7.8,3.2,66.4,83.9,77.6,2.7,42.2,37.8,7.4,82.1,5.0,26.4,1.9,10.4,82.1,8.1,16.0,87.6,6.4,25.5,1.6,3.9
06075013200,4162,4.0,16.9,24.0,22.1,68.6,7.1,7.5,3.5,67.7,85.9,77.8,2.8,42.7,39.2,6.8,83.4,5.4,28.3,2.0,10.1,82.7,7.5,16.1,88.2,6.4,24.8,1.7,3.5
06075013300,4232,5.3,21.5,20.2,27.7,73.7,8.5,8.0,5.1,70.2,86.0,74.1,4.2,38.5,33.6,8.7,77.8,7.5,32.2,2.8,13.4,81.2,8.8,17.9,87.0,8.7,25.7,2.5,6.2
06075013400,3599,5.1,14.3,26.3,19.0,63.1,5.5,8.1,2.8,64.6,82.5,76.3,2.7,41.1,36.9,8.7,81.0,4.7,24.8,1.8,10.7,82.2,8.9,16.7,87.8,6.5,26.3,1.5,4.4
06075013500,2556,5.5,15.0,24.6,20.4,65.4,5.8,8.0,3.1,65.4,82.5,76.3,2.9,41.2,36.8,8.9,80.3,5.3,25.9,2.0,11.6,81.7,9.0,17.0,87.7,6.9,26.4,1.6,4.4
06075015100,2493,6.0,19.7,19.2,27.0,75.2,8.9,7.2,5.2,70.7,84.4,74.3,3.5,39.0,32.9,7.1,78.3,7.3,30.3,2.8,13.2,79.1,7.5,14.4,84.4,7.6,25.4,2.6,5.7
06075015200,3934,7.0,18.1,20.6,25.5,71.9,6.8,7.9,4.6,68.0,82.1,72.5,3.7,35.8,30.6,9.8,75.5,7.7,29.3,2.7,14.7,81.3,9.5,16.8,85.7,8.6,27.4,2.5,6.0
06075015300,2040,6.3,14.5,25.5,20.8,66.1,5.5,8.2,3.2,65.1,80.7,74.7,2.9,37.4,32.7,9.6,78.3,5.6,25.1,2.0,12.2,83.0,9.4,16.7,86.2,7.1,27.0,1.7,5.4
06075015400,5621,5.5,15.3,23.1,21.7,67.3,5.9,7.6,3.4,66.3,82.7,73.6,2.9,38.8,34.5,8.5,79.7,6.0,26.8,2.1,12.3,81.8,8.7,16.5,86.3,7.1,26.9,1.8,4.5
06075015500,3622,9.9,22.8,16.4,32.4,78.1,8.6,8.0,6.9,72.0,81.9,69.3,5.2,32.6,27.1,10.4,69.5,10.9,33.4,3.7,19.3,79.5,9.8,16.6,82.8,10.9,28.2,3.8,9.4
06075015600,2728,7.7,14.3,22.5,21.2,66.0,4.8,8.2,3.5,64.9,78.1,67.2,3.4,33.0,29.8,11.0,71.4,6.7,26.6,2.2,14.6,80.3,10.6,16.3,82.5,8.2,29.2,1.9,7.7
06075015700,7832,7.8,10.9,25.1,16.7,60.4,3.7,8.6,2.5,63.1,73.0,69.6,2.7,34.6,30.8,10.4,73.7,4.8,21.1,1.7,13.4,80.5,11.5,15.3,82.1,6.8,28.6,1.4,7.4
06075015801,3594,8.7,17.7,20.8,27.8,70.0,5.3,9.0,4.3,68.0,80.5,68.2,4.2,30.9,28.2,13.0,68.6,9.2,28.7,2.8,17.3,82.9,11.5,22.4,85.4,10.0,31.9,2.7,9.3
06075015802,2965,6.2,12.4,28.2,18.9,60.6,4.3,8.3,2.5,63.0,79.5,74.3,2.5,35.1,32.7,10.0,78.3,4.9,22.4,1.8,11.6,84.0,9.8,18.6,88.2,6.6,27.8,1.5,5.2
06075015900,4350,8.2,17.2,18.4,26.4,72.5,6.0,7.7,4.6,68.6,80.2,69.4,3.8,34.2,30.1,10.0,70.6,8.7,29.4,2.7,16.1,80.2,9.6,16.9,81.5,8.8,30.0,2.6,8.2
06075016000,2465,8.3,18.9,18.8,28.7,73.3,6.6,7.5,5.5,68.3,81.7,69.0,4.4,33.1,30.5,10.8,69.7,9.7,32.5,2.9,16.6,80.1,9.7,18.4,82.4,9.7,29.1,2.8,8.2
06075016100,5366,12.0,25.1,14.4,38.2,78.3,7.5,9.8,7.8,73.1,80.9,65.2,7.0,28.2,24.5,14.3,59.5,14.5,35.1,4.4,23.7,81.0,12.8,24.9,83.5,14.2,33.0,4.9,15.2
06075016200,2541,7.3,14.0,25.6,21.8,63.0,4.8,7.7,3.5,63.6,79.8,70.8,3.1,37.1,32.3,11.1,75.9,6.2,26.0,2.1,13.8,82.7,10.0,19.6,86.9,7.8,28.4,1.8,5.9
06075016300,4293,7.2,12.3,26.7,19.9,60.9,4.1,8.3,2.6,63.7,78.9,71.2,2.7,34.8,30.7,10.6,74.4,5.5,22.9,1.9,12.8,83.4,10.1,19.3,87.1,7.0,29.4,1.6,6.6
06075016400,3778,7.2,12.1,29.1,18.2,59.3,4.3,8.2,2.6,62.2,78.3,72.7,2.6,34.4,29.1,10.7,76.1,4.7,21.7,1.8,12.2,83.4,10.0,17.9,87.8,6.8,28.1,1.5,6.4
06075016500,5083,6.3,13.7,25.8,19.8,63.0,5.0,8.3,3.0,64.0,79.6,72.6,2.9,36.4,32.1,10.1,76.3,5.3,24.0,2.0,12.5,81.8,10.0,17.9,86.3,7.2,28.0,1.7,6.1
06075016600,5069,6.3,11.4,29.1,16.9,55.9,3.9,8.2,2.3,61.1,77.7,72.1,2.6,36.3,34.4,10.6,76.5,4.3,21.8,1.6,11.7,83.3,10.3,18.2,87.3,6.6,27.8,1.3,5.2
06075016700,4652,6.2,11.3,29.5,17.0,55.1,3.9,8.0,2.2,61.3,79.0,73.3,2.5,37.5,34.2,10.2,78.7,4.2,21.8,1.6,11.3,83.3,9.8,18.2,87.7,6.5,27.7,1.3,4.9
06075016801,3218,6.7,12.0,28.5,18.7,57.2,4.0,8.1,2.5,61.7,78.8,70.2,2.7,36.2,30.2,11.0,74.7,4.9,22.9,1.7,12.3,83.9,10.2,19.4,87.0,7.1,28.9,1.4,6.1
06075016802,3264,8.5,13.5,26.4,20.9,59.3,4.1,8.5,3.1,62.3,77.8,68.7,3.5,33.7,30.7,13.4,71.4,5.9,24.7,2.0,14.7,82.6,11.5,20.9,86.3,8.6,30.1,1.8,8.0
06075016900,2924,5.9,13.2,28.5,19.8,59.8,4.7,7.5,2.9,62.8,81.5,73.3,2.8,38.5,33.5,10.1,78.1,5.1,25.0,1.8,11.6,82.7,9.1,18.7,87.5,6.9,27.8,1.5,4.6
06075017000,3689,4.7,16.0,26.4,22.9,65.3,6.4,7.0,3.7,66.0,85.8,75.1,2.9,41.7,36.3,8.2,81.8,5.7,28.7,2.0,10.8,82.9,7.7,18.0,88.2,6.9,26.0,1.7,4.0
06075017101,3544,4.9,14.7,26.8,19.9,62.5,5.5,7.9,2.9,64.7,83.6,76.6,2.8,40.6,37.2,8.8,81.4,4.9,25.6,1.8,10.8,83.1,8.8,18.2,88.5,6.7,26.5,1.5,4.0
06075017102,3451,5.3,13.5,26.9,18.8,59.9,4.7,8.2,2.6,63.1,81.1,74.7,2.7,38.4,35.0,9.8,79.9,4.7,24.0,1.8,11.6,83.7,9.7,18.8,88.3,6.9,27.2,1.4,4.2
06075017601,7630,11.2,17.2,19.5,29.2,68.9,4.6,8.1,5.2,66.2,78.9,58.2,4.9,26.5,24.5,15.7,57.9,10.9,31.5,2.9,20.5,79.8,12.1,22.3,80.2,11.8,34.8,2.9,12.9
06075017700,2128,10.5,12.2,26.9,20.3,58.0,3.8,7.7,3.0,61.8,78.1,63.8,3.0,31.1,27.4,12.7,66.6,6.3,24.7,2.0,15.0,81.2,10.7,20.5,84.8,8.3,31.2,1.6,8.5
06075017801,3499,13.5,29.8,9.0,45.5,85.5,10.0,7.3,11.9,77.8,84.9,59.9,7.8,24.8,21.9,11.6,54.7,20.9,44.0,5.9,28.6,73.1,9.6,15.2,77.7,16.1,30.0,6.7,16.2
