FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
06075010100,17.9,5.3,50708.0,14.3,20.2,7.8,17.4,1.8,53.7,22.5,81.5,0.0,6.8,46.2,0.0,0.6545,0.33799999999999997,0.0781,0.634,0.8159,0.0292,0.7875,0.0548,0.7151,0.963,0.9836,0.0,0.8547,0.9714,0.0,9.3
06075010200,5.5,2.0,109899.0,1.5,20.7,7.0,6.1,0.7,19.3,0.0,49.1,0.0,0.7,33.7,0.1,0.1754,0.0407,0.0035,0.0345,0.8344,0.0255,0.0728,0.0216,0.3782,0.1651,0.9425,0.0,0.2962,0.9470000000000001,0.4182,4.1
06075010300,14.4,3.5,74606.0,11.9,20.1,10.8,9.7,0.0,46.5,13.7,21.8,0.0,6.4,26.8,0.0,0.5504,0.1461,0.019,0.547,0.8122,0.049,0.2918,0.0,0.6671,0.9087,0.8171,0.0,0.8426,0.9221,0.0,5.3
06075010400,7.9,6.7,81116.0,6.2,13.8,12.1,6.0,0.8,43.7,3.8,19.8,0.0,1.4,31.8,0.3,0.2872,0.491,0.013999999999999999,0.2714,0.457,0.0619,0.0685,0.0228,0.6459,0.7106,0.7973,0.0,0.4251,0.9414,0.5466,5.1
06075010500,8.5,6.7,96046.0,3.3,27.2,8.3,10.4,2.7,49.0,3.3,93.5,0.0,3.2,39.1,0.0,0.3148,0.491,0.0068,0.1145,0.9514,0.0323,0.3446,0.0907,0.6845,0.6775,0.9942,0.0,0.6697,0.9595,0.0,2.5
06075010600,24.7,8.5,41551.0,28.1,19.3,6.1,15.5,2.9,66.4,34.3,40.6,0.0,12.6,64.3,0.0,0.7936,0.6488,0.1522,0.8965,0.7784,0.0221,0.6925,0.1043,0.7869,0.9924,0.9197,0.0,0.9407,0.9890000000000001,0.0,12.1
06075010700,24.8,7.3,25397.0,47.3,22.6,11.0,16.1,4.9,81.5,53.1,66.8,0.8,29.0,75.1,0.0,0.7953,0.5499,0.5318,0.9837,0.8876,0.0508,0.7253,0.2445,0.8626,0.9995,0.9699,0.5085,0.9927,0.995,0.0,8.5
06075010800,18.2,3.7,62943.0,19.3,21.5,8.2,12.2,2.1,56.8,15.7,39.9,0.0,2.2,50.1,0.0,0.6617,0.1649,0.0367,0.7651,0.8591,0.0319,0.478,0.0636,0.7343,0.925,0.9174,0.0,0.555,0.9764,0.0,6.4
06075010900,8.6,2.8,99046.0,4.6,17.5,4.4,9.0,1.6,28.6,5.9,48.6,0.0,0.0,45.6,0.0,0.32,0.0888,0.0058,0.1837,0.6873,0.0163,0.2407,0.0448,0.501,0.7859999999999999,0.9415,0.0,0.0,0.9706,0.0,1.1
06075011000,6.2,2.9,84537.0,14.2,11.7,3.2,6.6,1.9,51.3,14.3,50.2,0.0,6.9,47.4,0.0,0.2085,0.0962,0.0117,0.6307,0.32799999999999996,0.0127,0.0949,0.0585,0.6997,0.9141,0.9448,0.0,0.8584,0.973,0.0,5.8
