TractFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
48029110100,3379,29.5,19.3,21.3,33.9,71.3,5.5,7.4,6.3,62.8,78.1,58.9,5.2,30.6,28.6,17.4,53.0,13.0,33.0,3.1,32.3,76.3,12.3,34.0,80.9,12.4,35.5,3.0,14.6
48029110300,2542,32.3,20.7,17.0,35.1,74.0,5.6,7.8,6.7,64.4,78.6,55.7,5.3,27.5,25.6,15.9,52.3,15.7,34.5,3.7,35.8,78.7,13.4,36.1,82.9,14.2,34.4,3.3,14.6
48029110500,2238,55.8,21.7,13.3,36.6,69.7,4.2,10.8,8.6,60.1,64.6,36.9,9.0,17.4,15.3,27.8,26.1,19.7,35.4,5.0,53.5,75.1,24.2,44.3,77.3,23.6,40.2,4.7,35.0
48029110600,7553,46.6,17.4,20.3,34.8,64.6,3.6,8.4,6.7,58.1,66.4,41.5,6.6,20.3,18.1,26.8,30.8,15.2,31.9,3.6,44.6,76.4,18.5,41.7,79.8,17.4,40.8,3.5,27.6
48029110700,1398,43.3,27.5,13.3,44.7,78.4,6.3,8.9,10.7,65.9,77.6,50.3,9.0,23.7,22.6,22.3,42.4,23.4,41.0,5.4,48.4,76.0,17.4,43.7,81.1,21.6,37.1,5.4,20.1
48029110800,1965,32.0,22.2,17.5,37.6,75.6,6.1,7.5,7.9,65.2,78.9,56.9,5.8,27.6,25.4,16.3,51.1,16.5,36.0,3.9,36.5,76.6,13.0,36.0,82.0,14.4,34.8,3.7,15.4
48029110900,549,20.2,16.5,21.4,31.6,71.9,5.1,6.3,4.8,65.0,84.0,60.3,3.2,33.8,28.5,10.8,61.9,11.1,31.3,2.5,24.8,81.8,9.0,31.8,84.8,9.0,33.6,2.2,9.3
48029111000,2125,40.2,22.7,16.4,38.7,73.8,5.3,8.5,8.3,63.1,75.4,51.8,7.2,25.9,23.6,21.5,47.1,18.2,36.3,4.3,43.2,77.5,16.5,40.6,81.7,18.0,36.4,4.2,18.0
48029120100,7129,19.7,7.3,30.8,15.4,40.2,1.8,8.3,1.3,55.4,64.5,60.2,2.4,36.6,34.6,16.9,63.4,3.2,15.1,1.2,22.9,79.1,14.4,25.9,80.8,6.6,34.6,0.8,10.5
48029120400,855,10.5,36.1,9.7,48.3,87.5,16.4,6.3,11.1,80.2,92.1,77.2,5.9,44.3,39.4,5.5,80.0,12.7,42.4,4.5,25.0,78.7,5.9,20.4,84.9,10.5,22.4,4.6,5.6
48029120501,8151,30.9,24.0,16.7,38.0,75.3,6.2,8.8,7.5,65.6,77.8,57.1,7.2,30.0,28.6,19.8,51.1,15.5,35.3,3.8,38.6,76.9,15.4,37.8,82.0,15.7,36.8,3.9,17.7
48029120502,5155,36.8,24.6,15.8,39.1,74.3,5.8,9.4,8.4,64.0,75.4,50.6,8.6,26.6,24.5,23.7,42.7,17.0,36.4,4.2,43.3,75.8,17.8,40.4,80.8,18.6,38.2,4.4,23.3
48029120600,5970,18.9,19.6,21.1,29.7,71.0,5.8,8.2,4.8,63.4,79.7,63.6,4.9,36.3,34.3,15.6,64.2,9.5,30.7,2.6,27.5,78.4,12.5,31.1,83.5,10.9,33.2,2.4,10.7
48029120701,5326,26.2,24.1,16.9,36.2,76.8,7.4,7.9,7.2,66.7,81.8,61.1,6.0,33.0,30.1,14.5,58.2,13.7,35.5,3.6,32.7,77.5,12.2,32.9,83.0,13.3,33.1,3.5,13.9
48029120702,4477,15.6,27.1,16.2,37.4,80.8,10.1,7.5,7.8,70.1,84.8,69.1,5.8,40.0,35.0,10.5,71.1,11.4,36.5,3.6,26.5,78.4,9.7,26.4,83.9,11.1,28.2,3.6,8.7
48029120800,6334,10.9,23.3,19.6,32.2,77.1,8.8,7.3,5.3,68.8,87.4,72.8,4.1,43.9,42.2,9.6,77.7,8.7,34.0,2.6,20.9,79.4,8.5,25.5,85.3,8.7,28.3,2.4,5.7
48029120901,2077,23.8,27.2,15.7,39.1,79.0,8.6,8.3,8.4,68.3,81.5,61.2,7.3,33.9,29.4,15.2,57.9,13.8,36.7,4.0,33.8,76.9,12.7,32.7,82.3,14.3,32.9,4.2,16.0
48029120902,6123,22.0,22.5,18.8,34.2,75.1,7.0,8.3,6.4,66.4,80.1,65.3,5.8,36.4,34.3,15.3,63.4,11.3,33.0,3.1,29.9,77.8,12.3,31.1,82.6,11.9,33.1,3.2,11.6
48029121000,7095,24.6,22.5,18.9,34.1,74.2,6.5,8.1,6.3,65.2,80.1,64.3,5.9,36.7,35.1,16.5,63.0,12.2,33.7,3.2,32.1,77.2,13.1,33.6,82.8,12.8,33.5,3.1,11.4
48029121108,7109,16.7,21.7,20.1,31.8,74.5,6.9,7.7,5.3,65.7,82.9,69.1,4.8,39.4,38.8,13.1,70.6,10.1,33.1,2.7,25.6,79.0,10.9,29.7,83.9,10.4,31.1,2.5,7.7
48029121110,4895,19.9,17.9,22.8,27.6,68.9,5.2,7.9,4.0,63.0,80.9,66.4,4.1,38.5,38.5,15.0,68.7,8.8,29.4,2.2,26.2,78.5,11.7,30.2,83.1,9.9,33.1,2.0,8.2
48029121111,6591,23.8,21.0,19.7,32.6,72.3,5.7,8.2,5.5,64.0,79.7,62.6,5.4,34.3,33.8,17.0,61.0,11.8,32.6,3.0,31.4,77.7,13.4,34.4,82.5,12.5,34.8,2.8,11.3
48029121112,3771,22.2,23.2,19.0,34.2,74.8,7.0,8.5,6.3,65.7,80.1,64.4,6.2,36.1,34.1,16.8,62.1,11.4,33.5,3.1,31.1,77.7,13.0,32.3,82.4,12.5,33.5,3.1,12.6
48029121115,5141,13.8,22.5,20.3,32.1,76.0,7.5,7.5,5.2,67.3,85.4,72.4,4.6,42.6,42.1,11.7,75.9,9.6,34.1,2.6,23.2,79.4,9.7,27.7,84.3,9.5,29.5,2.4,5.7
48029121116,4839,17.7,21.4,20.5,31.4,74.2,6.8,7.8,5.4,65.4,81.9,66.3,4.9,37.7,35.9,13.5,64.8,10.0,32.6,2.7,26.1,78.1,11.2,29.7,83.0,10.4,32.4,2.5,10.3
