FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR
48029110100,25.7,3.2,33177.0,24.6,14.5,4.8,19.2,5.8,69.5,14.4,84.1,0.0,9.5,27.6,22.1,0.8096,0.1208,0.2905,0.856,0.5022,0.0177,0.8545,0.3098,0.8024,0.915,0.9859,0.0,0.9085,0.9257,0.9732,22.8
48029110300,33.6,12.2,27166.0,25.3,13.7,20.8,22.4,14.3,86.1,8.7,42.2,0.0,0.0,28.8,0.0,0.8995,0.8414,0.4664,0.8651,0.4509,0.373,0.9319,0.8073,0.8867,0.8472,0.9246,0.0,0.0,0.9307,0.0,24.2
48029110500,62.4,28.4,8646.0,69.7,10.2,40.3,19.9,41.9,97.9,22.4,18.6,0.0,3.8,49.4,0.0,0.9945,0.9916,0.9911,0.9996,0.2441,0.9943,0.8757,0.9986,0.9715,0.9627,0.7853,0.0,0.7145,0.9755,0.0,24.1
48029110600,45.1,19.3,10648.0,45.3,11.2,12.5,28.0,11.8,91.7,13.5,37.9,0.7,7.1,44.8,47.3,0.9659,0.96,0.9777,0.9799,0.2986,0.0661,0.9835,0.7112,0.9199,0.9068,0.9105,0.4931,0.8615,0.9693,0.9890000000000001,23.3
48029110700,33.8,10.6,12768.0,33.3,23.5,26.7,19.3,9.2,93.3,21.2,33.2,0.0,5.1,52.9,0.0,0.9011,0.7759,0.9468,0.9357,0.9056,0.7699,0.8577,0.5706,0.9301,0.9574,0.8907,0.0,0.7961,0.9796,0.0,28.7
48029110800,23.7,5.6,23129.0,17.0,20.0,17.5,12.3,6.8,77.5,5.3,25.0,2.1,5.0,23.1,12.4,0.7772,0.3714,0.6224,0.7111,0.8085,0.1857,0.4847,0.3952,0.8425,0.7678,0.8428,0.6099,0.789,0.9025,0.9554,29.7
48029110900,21.5,0.7,45737.0,8.0,3.2,11.0,12.7,4.6,57.8,6.2,62.7,0.6,4.4,11.9,5.8,0.7366,0.0076,0.111,0.3683,0.0183,0.0504,0.5136,0.2166,0.74,0.7948,0.9651,0.4729,0.7587,0.7637,0.915,14.0
48029111000,26.6,3.4,22839.0,26.8,12.5,16.0,19.7,8.9,76.7,8.8,36.9,1.1,2.8,22.5,6.7,0.8224,0.1372,0.6339,0.8827,0.377,0.1317,0.8699,0.5533,0.838,0.8492,0.9069,0.5387,0.6302,0.8982,0.9261,27.4
48029120100,7.8,5.4,16037.0,2.5,0.4,35.3,9.7,14.7,53.3,2.0,2.4,0.7,1.2,2.5,30.6,0.2823,0.3492,0.8725,0.0754,0.0056,0.9746,0.2918,0.8216,0.7119,0.5807,0.4098,0.4931,0.3913,0.2356,0.9808,3.9
48029120400,1.3,1.9,89385.0,1.7,24.5,24.4,9.5,3.1,18.7,0.0,15.9,0.0,0.0,3.1,1.7,0.0122,0.0363,0.0093,0.0423,0.9209,0.6353,0.2773,0.11199999999999999,0.3698,0.0,0.7509,0.0,0.0,0.2969,0.7595,3.6
